FK_Periodo,Anyo,Valor,cod_pais
21,2020,141.28,128
20,2020,122.355,128
19,2020,115.55,128
22,2019,132.15,128
21,2019,109.21,128
20,2019,130.08,128
19,2019,115.9,128
22,2018,119.11,128
21,2018,109.94,128
20,2018,111.17,128
19,2018,103.1,128
22,2022,119.11,154
21,2022,110.755,154
20,2022,122.355,154
19,2022,191.39,154
22,2021,126.72,154
21,2021,124.59,154
20,2021,145.21,154
19,2021,125.38,154
22,2020,120.15,154
21,2020,130.69,154
20,2020,122.355,154
19,2020,107.48,154
22,2019,112.48,154
21,2019,94.32,154
20,2019,118.57,154
19,2019,113.12,154
22,2018,112.58,154
21,2018,85.43,154
20,2018,103.09,154
19,2018,101.86,154
22,2022,102.03,131
21,2022,107.06,131
20,2022,122.29,131
19,2022,100.4,131
22,2021,94.42,131
21,2021,89.1,131
20,2021,137.2,131
19,2021,120.41,131
22,2020,201.6,131
21,2020,84.07,131
20,2020,122.355,131
19,2020,75.12,131
22,2019,88.31,131
21,2019,72.9,131
20,2019,84.88,131
19,2019,70.42,131
22,2018,74.3,131
21,2018,65.65,131
20,2018,70.16,131
19,2018,64.59,131
22,2022,218.55,132
21,2022,217.58,132
20,2022,235.17,132
19,2022,223.11,132
22,2021,235.19,132
21,2021,191.45,132
20,2021,228.57,132
19,2021,206.2,132
22,2020,235.81,132
21,2020,254.36,132
20,2020,122.355,132
19,2020,179.1,132
22,2019,211.23,132
21,2019,183.3,132
20,2019,212.83,132
19,2019,183.7,132
22,2018,188.54,132
21,2018,177.65,132
20,2018,199.45,132
19,2018,187.62,132
22,2022,119.33,
21,2022,118.23,
20,2022,124.82,
19,2022,107.82,
22,2021,110.4,
21,2021,99.65,
20,2021,118.1,
19,2021,103.56,
22,2020,106.68,
21,2020,109.97,
20,2020,122.355,
19,2020,88.45,
22,2019,101.76,
21,2019,86.78,
20,2019,101.14,
19,2019,90.03,
22,2018,93.31,
21,2018,86.52,
20,2018,91.47,
19,2018,89.25,
22,2022,108.81,340
21,2022,114.2,340
20,2022,121.75,340
19,2022,95.3,340
22,2021,94.78,340
21,2021,87.57,340
20,2021,87.42,340
19,2021,75.7,340
22,2020,79.2,340
21,2020,84.21,340
20,2020,122.355,340
19,2020,72.31,340
22,2019,91.22,340
21,2019,86.91,340
20,2019,94.97,340
19,2019,77.38,340
22,2018,80.49,340
21,2018,79.87,340
20,2018,84.95,340
19,2018,81.61,340
22,2022,124.95,342
21,2022,134.1,342
20,2022,152.2,342
19,2022,145.11,342
22,2021,150.94,342
21,2021,145.71,342
20,2021,147.34,342
19,2021,128.28,342
22,2020,140.09,342
21,2020,134.51,342
20,2020,122.355,342
19,2020,114.94,342
22,2019,139.14,342
21,2019,117.09,342
20,2019,132.99,342
19,2019,108.17,342
22,2018,117.13,342
21,2018,106.33,342
20,2018,107.81,342
19,2018,109.03,342
22,2022,126.51,301
21,2022,120.45,301
20,2022,130.14,301
19,2022,113.59,301
22,2021,121.08,301
21,2021,137.47,301
20,2021,153.75,301
19,2021,143.2,301
22,2020,124.47,301
21,2020,140.18,301
20,2020,122.355,301
19,2020,103.11,301
22,2019,115.61,301
21,2019,99.5,301
20,2019,108.9,301
19,2019,102.43,301
22,2018,106.38,301
21,2018,94.16,301
20,2018,95.85,301
19,2018,93.39,301
22,2022,131.21,344
21,2022,131.21,344
20,2022,156.59,344
19,2022,122.23,344
22,2021,138.22,344
21,2021,136.09,344
20,2021,157.59,344
19,2021,141.76,344
22,2020,146.4,344
21,2020,152.95,344
20,2020,122.355,344
19,2020,105.74,344
22,2019,131.67,344
21,2019,116.45,344
20,2019,134.26,344
19,2019,108.04,344
22,2018,119.32,344
21,2018,114,344
20,2018,122.42,344
19,2018,105.49,344
22,2022,145.38,343
21,2022,151.28,343
20,2022,174.27,343
19,2022,148.94,343
22,2021,159.46,343
21,2021,167.56,343
20,2021,170.61,343
19,2021,154.13,343
22,2020,158.57,343
21,2020,149.41,343
20,2020,122.355,343
19,2020,143.95,343
22,2019,176.65,343
21,2019,162.67,343
20,2019,169.35,343
19,2019,141.83,343
22,2018,158.24,343
21,2018,151.39,343
20,2018,148.12,343
19,2018,139.3,343
22,2022,152.03,302
21,2022,154.39,302
20,2022,161.74,302
19,2022,133.47,302
22,2021,146.3,302
21,2021,145.55,302
20,2021,182.5,302
19,2021,157.86,302
22,2020,161.18,302
21,2020,173.08,302
20,2020,122.355,302
19,2020,114.4,302
22,2019,134.8,302
21,2019,119.05,302
20,2019,130.34,302
19,2019,110.13,302
22,2018,124.59,302
21,2018,115,302
20,2018,113.35,302
19,2018,105.12,302
22,2022,149.13,303
21,2022,155.88,303
20,2022,169.06,303
19,2022,137.94,303
22,2021,152.81,303
21,2021,168.76,303
20,2021,172.59,303
19,2021,138.57,303
22,2020,146.03,303
21,2020,151.22,303
20,2020,122.355,303
19,2020,121.13,303
22,2019,146.6,303
21,2019,133.35,303
20,2019,145,303
19,2019,116.84,303
22,2018,122.85,303
21,2018,120.68,303
20,2018,113.89,303
19,2018,105,303
22,2022,162.1,
21,2022,170.27,
20,2022,179.56,
19,2022,148.29,
22,2021,151.39,
21,2021,163.28,
20,2021,175.34,
19,2021,148.75,
22,2020,154.57,
21,2020,161.22,
20,2020,122.355,
19,2020,130.74,
22,2019,151.58,
21,2019,139.56,
20,2019,151.82,
19,2019,124.54,
22,2018,130.89,
21,2018,129.54,
20,2018,129.5,
19,2018,121.17,
22,2022,105.2,501
21,2022,98.27,501
20,2022,129.91,501
19,2022,111.02,501
22,2021,128.26,501
21,2021,114.36,501
20,2021,106.12,501
19,2021,104.65,501
22,2020,89.87,501
21,2020,96.35,501
20,2020,122.355,501
19,2020,85,501
22,2019,105.33,501
21,2019,92.32,501
20,2019,116.38,501
19,2019,88.8,501
22,2018,96.73,501
21,2018,95.89,501
20,2018,110.24,501
19,2018,94.07,501
22,2022,218.87,407
21,2022,213.52,407
20,2022,198.27,407
19,2022,172.99,407
22,2021,177.3,407
21,2021,231.4,407
20,2021,258.89,407
19,2021,295.75,407
22,2020,266.72,407
21,2020,306.44,407
20,2020,122.355,407
19,2020,278.19,407
22,2019,389.76,407
21,2019,359.08,407
20,2019,391.23,407
19,2019,319.45,407
22,2018,322.44,407
21,2018,353.19,407
20,2018,366.17,407
19,2018,336.5,407
22,2022,109.02,430
21,2022,121.28,430
20,2022,173.28,430
19,2022,122.28,430
22,2021,153.06,430
21,2021,151.66,430
20,2021,194.26,430
19,2021,187.13,430
22,2020,202.31,430
21,2020,193.78,430
20,2020,122.355,430
19,2020,99.44,430
22,2019,142.74,430
21,2019,116.04,430
20,2019,143.42,430
19,2019,106.08,430
22,2018,133.43,430
21,2018,102.26,430
20,2018,121.65,430
19,2018,97.63,430
22,2022,233.73,408
21,2022,225.57,408
20,2022,267.93,408
19,2022,232.99,408
22,2021,227.03,408
21,2021,206.59,408
20,2021,258.39,408
19,2021,244.61,408
22,2020,224.45,408
21,2020,266.61,408
20,2020,122.355,408
19,2020,199.12,408
22,2019,243.63,408
21,2019,177.95,408
20,2019,221.6,408
19,2019,198.17,408
22,2018,214.55,408
21,2018,182.14,408
20,2018,200.75,408
19,2018,185.74,408
22,2022,119.11,415
21,2022,114.16,415
20,2022,122.355,415
19,2022,110.08,415
22,2021,115.77,415
21,2021,110.76,415
20,2021,131.66,415
19,2021,139.89,415
22,2020,142.86,415
21,2020,159.32,415
20,2020,122.355,415
19,2020,106.4,415
22,2019,139.79,415
21,2019,116.41,415
20,2019,138.89,415
19,2019,95.85,415
22,2018,121.27,415
21,2018,103.64,415
20,2018,120.26,415
19,2018,91.82,415
22,2022,157.83,436
21,2022,128.34,436
20,2022,150.41,436
19,2022,131.21,436
22,2021,139.29,436
21,2021,136.09,436
20,2021,150.42,436
19,2021,154.02,436
22,2020,151.45,436
21,2020,141.35,436
20,2020,122.355,436
19,2020,123.11,436
22,2019,127.7,436
21,2019,91.33,436
20,2019,118.73,436
19,2019,100.59,436
22,2018,110.61,436
21,2018,88.65,436
20,2018,107.77,436
19,2018,109.66,436
22,2022,224.3,
21,2022,216.43,
20,2022,255.23,
19,2022,231.31,
22,2021,218.49,
21,2021,218.57,
20,2021,270.88,
19,2021,271.16,
22,2020,283.43,
21,2020,311.65,
20,2020,122.355,
19,2020,208.42,
22,2019,240.63,
21,2019,199.17,
20,2019,234.41,
19,2019,208.97,
22,2018,211.01,
21,2018,180.53,
20,2018,197.42,
19,2018,185.37,
