variable,tipo,valor,min,max,control,nombre,etiqueta,descripcion,instrucciones
"TIPOESC","character","Destino","","","selectInput","Tipo.Escenario","Tipo de Escenario","Tipo de escenario que se quiere predecir. Puede ser un conjunto de turistas previstos en un municipio de varios países, o un conjunto de turistas previstos de un país concreto en varios municipios","Posibles valores: Destino, Origen"
"NSIM","character","1000","10","1000000","numericInput","N.Simulaciones","Número de simulaciones","Número de simulaciones que se ejecutarán en el paso de simulación de modelos.","Valores potencias de 10"
