cmun,cdis,consultorios_de_salud,helisuperficies,centros_de_atencion_a_drogodependientes,centros_de_salud,estaciones_de_cercanias,hospitales,otros_centros_de_salud,centros_de_salud_mental,centros_de_especialidades,bocas_de_metro,intercambiadores,aeropuertos
079,05,0,0,1,7,1,4,5,0,0,39,3,0
079,06,0,1,2,5,1,1,0,2,1,32,2,0
079,07,0,0,0,6,0,5,2,2,1,52,0,0
079,08,1,0,0,8,7,9,1,2,1,34,0,0
079,09,0,0,1,7,3,7,1,1,1,33,2,0
079,10,0,0,1,12,5,4,0,2,1,33,2,1
079,11,0,0,0,8,0,0,0,2,1,34,0,0
079,12,0,1,1,6,2,1,0,1,1,14,1,0
079,13,0,0,1,12,2,0,0,2,3,23,0,0
079,14,0,0,0,3,0,0,0,1,1,13,1,0
079,15,0,0,0,9,0,6,0,1,0,35,1,0
079,16,0,0,1,6,1,2,0,1,1,36,0,0
079,17,0,0,1,6,5,0,0,1,1,12,2,0
079,18,0,1,1,3,2,2,0,0,0,15,0,0
079,19,0,0,0,3,1,0,1,1,0,13,0,0
079,20,0,1,2,4,0,1,0,1,1,25,2,0
079,21,0,0,0,2,2,0,1,1,0,15,2,1
080,01,0,1,1,0,0,0,0,0,0,0,0,0
080,02,0,1,0,2,1,2,0,1,0,0,0,0
082,01,0,1,0,1,0,0,0,0,0,0,0,0
083,01,0,0,0,1,1,0,0,0,0,0,0,0
084,01,0,0,1,1,0,0,0,0,0,0,0,0
085,01,1,0,0,0,0,0,0,0,0,0,0,0
086,01,0,2,0,1,0,0,0,0,0,0,0,0
087,01,1,0,0,0,1,0,0,0,0,0,0,0
088,01,1,1,0,0,0,0,0,0,0,0,0,0
089,01,1,1,0,0,0,0,0,0,0,0,0,0
090,01,1,1,0,0,0,0,0,0,0,0,0,0
091,01,1,0,0,0,0,0,0,0,0,0,0,0
091,02,0,2,0,0,0,0,0,0,0,0,0,0
092,01,0,0,0,2,0,0,0,0,0,0,0,0
092,02,0,1,0,2,2,1,0,0,0,6,0,0
092,03,0,0,0,3,0,0,0,0,0,0,0,0
092,04,0,0,2,2,0,2,0,1,1,6,0,0
093,01,1,1,0,0,0,0,0,0,0,0,0,0
094,01,1,1,0,0,0,0,0,0,0,0,0,0
095,01,1,1,0,0,0,0,0,0,0,0,0,0
096,01,0,1,0,1,0,0,0,1,1,0,0,0
097,01,2,1,0,0,0,0,0,0,0,0,0,0
099,01,0,2,0,1,0,0,0,0,0,0,0,0
100,01,1,0,0,0,0,0,0,0,0,0,0,0
101,01,1,0,0,0,0,0,0,0,0,0,0,0
102,01,1,0,0,0,0,0,0,0,0,0,0,0
104,01,1,1,0,1,0,0,0,0,0,0,0,0
106,01,0,0,1,4,1,1,0,1,0,0,0,0
107,01,1,0,0,0,0,0,0,0,0,0,0,0
108,01,1,0,0,0,0,0,0,0,0,0,0,0
109,01,1,0,0,0,0,0,0,0,0,0,0,0
110,01,0,0,0,1,0,0,0,0,0,0,0,0
111,01,1,0,0,0,0,0,0,0,0,0,0,0
112,01,1,1,0,0,0,0,0,0,0,0,0,0
113,01,0,0,0,0,1,0,0,0,0,0,0,0
113,02,0,0,0,2,0,0,0,0,1,0,0,0
114,01,2,2,0,0,0,0,0,0,0,0,0,0
115,01,0,0,0,2,0,1,0,0,0,14,0,0
115,02,0,0,0,1,1,0,0,0,0,5,0,0
116,01,1,0,0,0,0,0,0,0,0,0,0,0
117,01,1,0,0,0,0,0,0,0,0,0,0,0
118,01,1,1,0,0,0,0,0,0,0,0,0,0
119,01,1,0,0,0,0,0,0,0,0,0,0,0
120,01,1,1,0,1,0,0,0,0,0,0,0,0
121,01,1,1,0,0,0,0,0,0,0,0,0,0
122,01,1,1,0,0,0,0,0,0,0,0,0,0
123,01,0,0,0,3,0,0,0,1,0,5,0,0
124,01,1,1,0,0,0,0,0,0,0,0,0,0
125,01,0,1,0,1,1,0,0,0,0,0,0,0
126,01,1,1,0,0,0,0,0,0,0,0,0,0
127,01,2,2,0,2,3,0,0,0,0,0,0,0
128,01,1,1,0,0,0,0,0,0,0,0,0,0
129,01,1,0,0,0,0,0,0,0,0,0,0,0
130,01,0,0,1,2,0,0,0,0,0,6,0,0
131,01,0,0,0,1,0,1,0,1,1,0,0,0
132,01,0,0,0,1,0,0,0,0,0,0,0,0
133,01,0,1,1,1,0,0,0,0,0,0,0,0
134,01,0,0,1,3,0,1,1,1,0,7,0,0
135,01,4,0,0,0,1,0,0,0,0,0,0,0
136,01,1,0,0,0,0,0,0,0,0,0,0,0
137,01,1,1,0,0,0,0,0,0,0,0,0,0
138,01,1,0,0,0,0,0,0,0,0,0,0,0
140,01,1,0,0,0,0,0,0,0,0,0,0,0
141,01,1,0,0,0,0,0,0,0,0,0,0,0
143,01,1,0,0,0,0,0,0,0,0,0,0,0
144,01,0,0,0,1,0,0,0,0,0,0,0,0
145,01,1,0,0,0,0,0,0,0,0,0,0,0
146,01,1,0,0,0,0,0,0,0,0,0,0,0
147,01,1,0,0,0,0,0,0,0,0,0,0,0
148,01,0,0,1,2,0,0,0,0,1,0,0,1
148,02,0,0,0,2,1,1,0,1,0,0,0,0
148,03,0,0,0,1,1,0,0,0,0,0,0,0
148,04,0,0,0,1,0,0,0,0,0,0,0,0
149,01,1,0,0,0,0,0,0,0,0,0,0,0
150,01,1,0,0,0,0,0,0,0,0,0,0,0
151,02,0,0,0,1,0,0,0,0,0,0,0,0
152,01,0,0,0,1,1,1,0,0,0,0,0,0
153,01,1,1,0,0,0,0,0,0,0,0,0,0
154,01,0,1,0,1,0,0,0,0,0,0,0,0
155,01,1,0,0,0,0,0,0,0,0,0,0,0
156,01,1,0,0,0,0,0,0,0,0,0,0,0
157,01,1,1,0,0,0,0,0,0,0,0,0,0
158,01,1,0,0,0,0,0,0,0,0,0,0,0
159,01,1,1,0,0,0,0,0,0,0,0,0,0
160,01,1,1,0,0,0,0,0,0,0,0,0,0
161,01,0,0,0,1,1,0,0,0,0,0,0,0
161,02,0,0,0,1,0,1,0,1,0,0,0,0
162,01,2,0,0,0,0,0,0,0,0,0,0,0
163,01,1,0,0,0,0,0,0,0,0,0,0,0
164,01,1,0,0,0,0,0,0,0,0,0,0,0
165,01,1,1,0,0,0,0,0,0,0,0,0,0
166,01,1,0,0,0,0,0,0,0,0,0,0,0
167,01,1,0,0,0,0,0,0,0,0,0,0,0
168,01,2,1,0,0,0,0,0,0,0,0,0,0
169,01,2,1,0,0,0,0,0,0,0,0,0,0
170,01,1,0,0,0,0,0,0,0,0,0,0,0
171,01,0,0,0,1,0,1,0,0,0,0,0,0
172,01,3,0,0,0,0,0,0,0,0,0,0,0
173,01,1,0,0,0,0,0,0,0,0,0,0,0
174,01,1,0,0,0,0,0,0,0,0,0,0,0
175,01,1,0,0,0,0,0,0,0,0,0,0,0
176,01,1,1,0,1,0,0,0,0,0,0,0,0
177,01,1,1,0,0,0,0,0,0,0,0,0,0
178,01,1,0,0,0,0,0,0,0,0,0,0,0
179,01,1,1,0,0,0,0,0,0,0,0,0,0
180,01,0,0,0,1,0,0,0,0,0,0,0,0
181,01,0,0,0,1,0,0,0,0,1,0,0,0
182,01,1,1,0,0,0,0,0,0,0,0,0,0
183,01,2,0,0,0,1,0,0,0,0,0,0,0
901,01,3,1,0,0,0,0,0,0,0,0,0,0
902,01,4,2,0,0,0,0,0,0,0,0,0,0
903,01,0,1,0,2,1,0,0,0,0,0,0,0
NA,NA,0,0,0,0,1,0,0,0,0,0,0,0
