cmun,cdis,consultorios_de_salud,helisuperficies,centros_de_atencion_a_drogodependientes,centros_de_salud,estaciones_de_cercanias,hospitales,otros_centros_de_salud,centros_de_salud_mental,centros_de_especialidades,bocas_de_metro,intercambiadores,aeropuertos,ayuntamientos_consejerias_ministerios_etc,sanidad_y_servicios_sociales,actividades_administrativas,actividades_asociativas_y_hogares,actividades_profesionales,administraciones_publicas,alimentacion,centros_educativos_no_universitarios_centros_publicos,comercio_mayorista,comercio_minorista,construccion,educacion,hosteleria,industria_quimica_y_refino,informacion_y_comunicaciones,maquinaria_industrial,material_de_transporte,material_electrico_y_electronico,mercadillos,metalicas_basicas_e_intermedias,mineria_y_suministros,otras_manufactureras,otros_servicios_bancos,papel_y_graficas,servicios_financieros,servicios_personales,servicios_recreativos,textil_confeccion_y_calzado,transporte_y_almacenamiento,actividades_inmobiliarias,centros_educativos_no_universitarios_centros_privados,industria_no_metalica,administracion_de_justicia,agencia_tributaria,campus_universitarios,centros_educativos_universitarios,colegios_mayores,galerias_de_alimentacion,grandes_superficies_especializadas,hipermercados,mercados_de_abastos,agricultura_y_ganaderia,centros_educativos_no_universitarios_servicios_educativos,seguridad_social,centros_comerciales,oficinas_de_empleo,embajadas_y_consulados,nsec,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,X,Y,densidad_hab_km,area_km2,bakery,bar,butcher,cafe,car_dealership,clothes,convenience,fast_food,food_court,furniture_shop,gift_shop,greengrocer,guesthouse,hairdresser,hotel,pub,restaurant,stationery,vending_any,bicycle_rental,hostel,supermarket,beauty_shop,beverages,bicycle_shop,bookshop,chemist,computer_shop,doityourself,florist,jeweller,kiosk,mall,mobile_phone_shop,optician,shoe_shop,toy_shop,travel_agent,car_rental,car_wash,outdoor_shop,sports_shop,caravan_site,biergarten,garden_centre,laundry,department_store,newsagent,vending_parking,chalet,shelter,motel,camp_site,general,alpine_hut,video_shop,vending_machine,car_sharing,tmed,prec,velmedia,presMax
034,01,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51.0022,457,0.4661,0.5339,0.0832,0.6543,0.2626,0.0744,0.1028,0.0501,0.0334,0.2697,0.169,0.4224,0.5084,-3.760161766203661,40.892905694617745,8.429879101034338,54.21192813357508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.554016066938264,1.6490272608925458,2.4703305718833724,893.5795588938267
035,01,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,3,0,0,6,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.9433,2168,0.4958000000000001,0.5042,0.1674,0.661,0.1716,0.1822,0.1997,0.0294,0.0183,0.2416,0.176,0.48749999999999993,0.5917,-3.2459854002826405,40.254421127716306,45.2812496517042,47.87853729028888,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.094598680241095,1.1003388988790643,2.5453053788787954,937.1236206450652
036,01,1,0,0,0,0,0,0,0,0,0,0,0,1,5,7,0,0,1,0,5,2,7,17,6,3,0,0,0,1,0,1,0,0,2,0,4,0,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37.93468759493671,3950,0.490133164556962,0.509866835443038,0.20457974683544303,0.686063670886076,0.109356582278481,0.07592177215189874,0.1022518987341772,0.05272139240506329,0.03466974683544303,0.2867893670886075,0.12134632911392404,0.5900758227848102,0.6711791139240507,-3.832065216276459,40.17241003990697,740.1839365490907,5.336511379071284,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.572948473420162,1.1175796369035087,2.617876047440856,938.3660154893224
037,01,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,2,0,1,4,2,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,46.51346496631376,2078,0.4990552454282964,0.5009447545717036,0.13764273339749758,0.6024794995187681,0.25987776708373433,0.11693551491819056,0.1198436958614052,0.03126111645813282,0.01955948026948989,0.14343580365736286,0.22811010587102984,0.4151941289701635,0.5379194417709336,-4.5080399562786955,40.24404145184807,30.72783288603153,67.62598611191457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.276236854817508,1.4232263696516845,2.477579500763976,918.8163949597538
038,01,0,0,0,1,2,1,0,0,0,0,0,0,1,7,3,1,5,2,0,4,0,12,13,5,29,0,0,0,0,0,1,1,0,0,2,1,4,1,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,43.17045953520164,7315,0.5033603691045797,0.4966396308954204,0.14487542036910458,0.6820245659603555,0.17306296650717704,0.12905577580314423,0.1539388106630212,0.05794274777853725,0.04562114832535885,0.3876262064251538,0.11948836637047162,0.524991948051948,0.5960752289815447,-4.054058987015863,40.757134845002554,179.43850583843704,40.766055010435075,3,3,3,8,0,0,2,2,0,0,0,1,0,2,1,8,20,1,0,2,2,3,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,10.758086197791943,2.8914311515904356,3.796584111813977,834.9626864153527
039,01,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.45569999999999,158,0.3861,0.6139,0.0759,0.6329,0.2911,0.057,0.0886,0.0342,0.0205,0.226,0.1625,0.4589,0.5479,-3.524082436323768,40.91663027282961,13.665869323087684,11.561650142012429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.892723769913603,1.3358295737334067,2.0405440325081563,907.3728394792716
040,01,0,0,0,1,1,1,0,0,0,0,0,0,1,6,4,0,6,2,2,1,1,19,5,8,13,0,1,0,0,0,0,2,0,2,8,0,6,2,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,44.44315357664233,4795,0.43754673618352447,0.5624532638164754,0.13596045881126173,0.6717314911366006,0.1923080500521377,0.16748813347236707,0.2170914702815433,0.04422022940563087,0.03085215849843586,0.24498517205422315,0.14153418143899898,0.4111750573514077,0.4783649426485923,-3.614703001234297,40.16061315628002,7147.957287250795,0.6708210202308336,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56214522853897,1.0608925199690813,2.3313477791796826,939.8643092202408
040,02,0,0,0,0,0,1,0,0,0,0,0,0,0,10,6,2,2,0,4,7,5,14,24,10,8,0,0,3,0,0,1,4,0,1,0,0,2,2,2,0,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39.57076538261997,15420,0.5091979182879377,0.49080208171206224,0.18639846303501945,0.6793683398184176,0.1342428793774319,0.15009507782101167,0.2021266926070039,0.04459046692607004,0.02947232166018158,0.24220124513618677,0.16325290531776915,0.5150935019455253,0.6144261284046693,-3.6059208155408737,40.15056153475925,332.9569110048844,46.31229895022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.541978879693527,1.0544198403168146,2.2616301979009714,939.3524132747548
041,01,1,0,0,0,0,0,0,0,0,0,0,0,1,9,4,1,6,2,0,3,6,7,4,8,4,0,2,1,0,0,1,1,2,1,3,1,4,1,4,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,37.118114776400866,7424,0.5090159752155172,0.4909840247844828,0.22048802532327583,0.6899153825431035,0.08956163793103449,0.11786647359913792,0.15949587823275865,0.07673060344827587,0.06115016163793103,0.49983072467672407,0.08949913793103448,0.5926631465517241,0.6508325700431035,-3.50758846892729,40.56815912393681,357.3596792703266,20.7745877071489,1,0,1,3,0,0,0,0,0,0,0,2,0,2,1,2,4,0,1,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.971417558771616,1.0435595848273005,2.7756663616467523,941.7470786606164
042,01,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,0,2,0,1,2,2,5,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,43.3795,1879,0.4774,0.5226,0.1602,0.6487,0.1911,0.1235,0.1948,0.0336,0.0241,0.3397,0.1294,0.5158,0.5925,-4.192940460235232,40.40587756950175,38.165210979254674,49.23331882067575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.615652831450175,1.4336578860075415,2.099953205828604,929.1456261703672
