grupo,tipo,nombre,CODMUN,DIRECCION,info,CMUN,CDIS,dist_aeropuerto,dist_intercambiador,dist_cercanias,dist_hospital,dist_universidad,dist_gob,dist_embajada,dist_ccomercial,X,Y
Salud,Centros de Salud,Centro de Salud Palma Norte,079,CallePalma c\v Norte59,CODZBS: 070103,079,01,8.468016567445472,1.1524643451602765,1.1481104021443176,0.5224826981727559,1.2077387014403533,1.3204290565466106,9.48899733570663,1.005304855956535,-3.707361946675681,40.42663070465827
Salud,Centros de Salud,Centro de Salud Párroco Julio Morate,079,CallePárroco Julio Morate3,CODZBS: 110203,079,02,7.081919046576612,0.7159538752282225,0.6200507828397308,1.8394742087488551,1.6065542978701954,0.8378336397957369,7.587816734720192,0.2449733391866953,-3.698899301074321,40.39716852124838
Salud,Centros de Salud,Centro de Salud Pascual Rodríguez,079,CallePascual Rodríguez21,CODZBS: 070304,079,10,4.765353915827539,2.604687985387238,0.7680189016694746,0.68932454876352,0.5628471623939064,3.8926093781694107,3.3145914752925987,3.2276246354988416,-3.743301425753502,40.405900667595546
Salud,Centros de Salud,Centro de Salud Paseo Imperial,079,CalleToledo180,CODZBS: 110201,079,02,6.182038241825872,1.8174317782357516,0.28384845955351373,0.8271492636290836,0.9895476467213016,4.180432257082093,3.749679283760317,3.141359521338758,-3.714418558006612,40.401659290749265
Salud,Centros de Salud,Centro de Salud Pavones,079,CalleHacienda de Pavones271,CODZBS: 010203,079,14,8.304953985140598,0.5815615168390378,1.9652666345361918,1.7225577796713212,3.0304122983105306,2.0597621661513483,9.230541103089584,1.8028878743317511,-3.628972113381164,40.39931780232006
Salud,Centros de Salud,Centro de Salud Peña Prieta-Especialidades,079,CalleAltos de Cabrejas4,CODZBS: 010402,079,13,9.574908361059506,0.9626294721700271,0.8937487303543551,1.34372679990469,3.1218544417291443,1.6784377500685925,9.062371809242636,1.4450634542857652,-3.6679100794851,40.39851384898142
Salud,Centros de Salud,Centro de Salud Potes,079,CallePotes2,CODZBS: 110309,079,17,5.906544741089633,1.4803857241400173,0.4168486125048928,2.983253232477132,2.7992899879887867,2.3357583848236363,9.572309207239822,2.1992351417348672,-3.7100290424342193,40.35061372395707
Salud,Centros de Salud,Centro de Salud Potosí,079,CallePotosí7,CODZBS: 020302,079,05,9.096512189178444,1.3812485993433476,1.5923830579759226,0.2816417873748549,14.42385028777735,1.959079713240043,6.468186263023487,6.533511980774787,-3.6794352516844384,40.45714955978416
Salud,Centros de Salud,Centro de Salud Príncipe de Vergara,079,CallePríncipe de Vergara111,CODZBS: 020302,079,05,9.345160355547378,0.3114264230431098,1.318662598001877,0.413452975728499,12.433326197497056,3.9770150622181286,4.499749739772444,5.303617083862328,-3.679227439164521,40.440024670306805
Salud,Centros de Salud,Centro de Salud Prosperidad,079,CalleCanillas99,CODZBS: 020301,079,05,8.443419415608245,0.9138190725011789,1.9374920991929552,0.5694980659272079,12.797476793037372,3.64554384730011,4.797629140707774,5.370252489035824,-3.66952838235345,40.44409026206974
Salud,Centros de Salud,Centro de Salud Puerta Bonita,079,CalleAlegria24,CODZBS: 110409,079,11,3.868850637523284,1.3852495266463414,1.905832436687126,1.1479023391768735,8.623135124732634,0.5531667991942054,17.79943135049847,2.4560275063200683,-3.732860659582181,40.384237448125766
Salud,Centros de Salud,Centro de Salud Puerta del Angel,079,PaseoExtremadura113,CODZBS: 070304,079,10,5.6186808173161245,1.7218556591952345,1.529705881758202,1.5404915443007314,0.6768749980513609,0.440062608348113,39.291965187658136,1.8472188318749607,-3.7352958169217994,40.41098791222802
Salud,Centros de Salud,Centro de Salud Quince de Mayo,079,PaseoQuince de Mayo10,CODZBS: 110402,079,11,5.701918938768853,1.3824085817962566,0.7715362428480783,1.2991486130387808,0.27747711587655494,0.05328249281476062,39.143186956624575,1.520880493719932,-3.7178656265975953,40.397791070474426
Salud,Centros de Salud,Centro de Salud Rafael Alberti,079,CalleSan Claudio154,CODZBS: 010410,079,13,9.751291671258084,1.3686465473819547,1.4508582136392683,1.8340393740533436,1.2080905047888226,1.408402771018499,40.47872815573809,0.8232377415424638,-3.6391252253796993,40.388856621033526
Salud,Centros de Salud,Centro de Salud Reina Victoria,079,AvenidaReina Victoria21,CODZBS: 070204,079,07,10.233295831990242,0.2588325232474758,1.2986761350260403,0.060768646313383565,16.638032499083167,2.7630893238372587,16.55050744446799,2.411464118380157,-3.707526672522408,40.44684591634013
Salud,Centros de Salud,Centro de Salud Rejas,079,CalleEuterpe12,CODZBS: 040205,079,20,2.572187884087391,1.5525155703238223,3.439715681307403,2.767014142410356,16.4318827393287,2.859514015002295,16.349911650343802,2.490956717723847,-3.592685252638899,40.44317644296192
Salud,Centros de Salud,Centro de Salud San Andrés,079,CalleAlberto Palacios22,CODZBS: 110304,079,17,6.10984153681166,1.9306172190418058,0.09618772821899654,3.8953848461748684,16.551787183462146,2.632916945328169,16.479814000188547,2.254545482452536,-3.712511830022912,40.34260734146971
Salud,Centros de Salud,Centro de Salud San Cristobal,079,CalleBenimamet24,CODZBS: 110306,079,17,8.186789980607227,1.0870452273316114,0.1203791414104247,3.853430366550898,15.042961533575339,4.122557967287763,14.960509020550711,3.727194596782241,-3.684987878414991,40.343109891024945
Salud,Centros de Salud,Centro de Salud San Fermín,079,Avenidade San Fermín3,CODZBS: 110506,079,12,6.922786164330357,2.172811896142494,0.9895441704372947,0.7216733519899912,15.381437631414645,3.8156976825710265,15.298136634823665,3.424813631018549,-3.69303825986965,40.37142877574738
Salud,Centros de Salud,Centro de Salud Sanchinarro,079,CalleAna de Austria26,CODZBS: 040308,079,16,8.12550112335971,3.212333213934421,1.1101733026959708,0.44650768923664025,17.158572704341726,2.0513095702621937,17.09046326440208,1.6918450967367809,-3.6573354362073656,40.49366456126195
Salud,Centros de Salud,Centro de Salud Santa Hortensia,079,CalleSanta Hortensia14,CODZBS: 020301,079,05,8.453159646968185,0.981401142127738,1.8906160973579191,0.6327401653974808,17.048974052013627,1.7866181233566458,17.11615186214388,1.3780032925627377,-3.669927683686116,40.445114975832766
Salud,Centros de Salud,Centro de Salud Segovia,079,CalleSegovia4,CODZBS: 070104,079,01,7.307896816774764,0.691351530338503,0.6913034404150922,0.6190111095428494,16.362036695800256,3.0816751215909184,16.26814184985013,2.72660271668508,-3.709890402009169,40.413714268018914
Salud,Centros de Salud,Centro de Salud Segre,079,CalleSegre27,CODZBS: 020302,079,05,9.643338829166579,0.8038166617134874,0.7734929082843949,0.3408724046590962,15.673206988957629,3.9656368531250785,15.556807841497646,3.6100240906723147,-3.68536666573165,40.451249690405824
Salud,Centros de Salud,Centro de Salud Silvano,079,AvenidaMachuPichu58,CODZBS: 040302,079,16,5.341908194577609,2.679614199982476,2.631155198881341,1.919305276255516,16.107543070222583,2.6844659474460575,16.30324174111455,2.2910368355072306,-3.635004741887885,40.463158927448475
