CMUN,dist,nsec,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,X,Y,densidad_hab_km,area_km2
001,01,1,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.6357096757488843,41.09314744936873,2.5140017143712776,21.87747115906596
002,01,2,39.40747137492176,4793,0.4777851450031295,0.5222148549968705,0.16962893803463383,0.7218957646567912,0.10847529730857501,0.15562991863133738,0.1959363446693094,0.4131831420822032,0.4099532234508658,0.44079899853953686,0.10715222199040267,0.6008132484873775,0.6730931775505946,-3.480170836365695,40.52396052951404,242.60222398090656,19.756620204673894
003,01,1,47.459700000000005,248,0.39520000000000005,0.6048,0.1371,0.6573,0.20559999999999998,0.11290000000000001,0.1411,0.1542,0.1449,0.528,0.0932,0.5,0.5514,-3.8499607063285315,40.920328476831855,9.647116821896812,25.70716252104412
004,01,4,41.46662452242107,9946,0.5015108686909311,0.498489131309069,0.1810683591393525,0.6420632716670018,0.17684664186607682,0.15474241906293987,0.1912543032374824,0.1573245123667806,0.15046839935652523,0.2942033581339232,0.16675871707218984,0.4777910315704806,0.5729138548160064,-3.989258520908965,40.23239855077072,451.61844658291426,22.02301539109957
005,01,23,45.998771173321295,31006,0.5298302554344321,0.4701697445655679,0.11419778429981293,0.6427127072179578,0.24307467264400437,0.1964784944849384,0.24000692446623234,0.07438074888731212,0.06545226730310262,0.3850912533058118,0.14129129200799845,0.45656793201315876,0.5316056859962588,-3.364637891486297,40.482675740367334,17549.383204121485,1.7667857405221068
005,02,36,42.751309260115825,54049,0.5115034912764344,0.48849650872356565,0.14681027771096597,0.6644351440359674,0.18876027678587948,0.18272495328313199,0.2147110510832763,0.056968053062961384,0.0459807545005458,0.22351837221780235,0.18975353105515366,0.45885577161464597,0.5641214305537567,-3.3923886480611913,40.4654579668107,3311.637201172614,16.320930318351856
005,03,16,41.42790214461002,28117,0.5083306078173347,0.49166939218266525,0.16985808941209946,0.6688122701568445,0.1613348899242451,0.17795308532204715,0.2021170537397304,0.06638435821744852,0.055313714123128355,0.34539506348472454,0.14233095991748765,0.5266065334139489,0.6100338798591599,-3.407420873356339,40.505779599246765,994.7626664891499,28.265033406645927
005,04,18,36.86568998916912,38778,0.5056366290164526,0.4943633709835474,0.21296218990149052,0.7023029939656507,0.08472624941977411,0.06114384960544639,0.09188230182061993,0.088169425963175,0.0743644437567693,0.47321378100985095,0.09724364330290372,0.6201590231574604,0.686019807622879,-3.3535761176202783,40.51395863656071,2564.4256641181346,15.121514552980868
005,05,32,45.96146692572214,43620,0.5196189912883998,0.48038100871160017,0.12073936038514442,0.6332725974323704,0.2459880788629069,0.17692389270976616,0.20552079321412195,0.0635397890875745,0.05499608207244383,0.3239683356258597,0.1590280628152224,0.43772630215497477,0.5203103278312701,-3.327083456770819,40.49086422793466,1619.0477469272564,26.941762577901194
006,01,67,40.89541231960306,116895,0.5220080465374909,0.4779919534625091,0.17339794345352666,0.6579805252577099,0.16861497925488686,0.14532845630694213,0.2271027084135335,0.06842997048633388,0.0576246571709654,0.4468359707429745,0.10299495359082939,0.524372076649985,0.5837953342743488,-3.6301152964680927,40.53457711865611,2582.0698712639237,45.271819055299176
