anyo,mun_dest,receptor,Andalucía,Aragón,"Asturias, Principado de","Balears, Illes",Canarias,Cantabria,Castilla - La Mancha,Castilla y León,Cataluña,Ceuta,Comunitat Valenciana,Extremadura,Galicia,"Madrid, Comunidad de",Melilla,"Murcia, Región de","Navarra, Comunidad Foral de",País Vasco,"Rioja, La",comercio,hosteleria,turismo,cluster
2019,Galapagar,6589,3324,733,1284,505,569,469,3753,4096.019,1536,0,3028,1007,1872,0,0,875,316,844,0,3,3,3,2
2019,Garganta de los Montes,453,0,0,0,0,0,0,1046,164,0,0,77,0,0,0,0,0,0,0,0,3,4,3,2
2019,Getafe,44202,36.536,4321.001,4157.2,2356,3271,2973,115.877,24.487000000000002,12.824,177,25.794999999999998,15.317,10.924,0,229,8.281,1854,3373.14,1015,3,3,2.5,1
2019,Griñón,1134,1479,197,143,74,121,140,13.321,1022,611,0,1342,594,231,0,0,322,0,123,0,3,2.5,4,2
2019,Guadalix de la Sierra,1179,527,98,0,0,0,0,1442,1158,278,0,446,466,257,0,0,30,0,85,0,3,3,3,2
2019,Guadarrama,5387,3093,420,1890,376,434,385,3616,14.443,1273,0,3192,886,3726,0,40,750,179,605,69,2,3,3,2
2019,Horcajo de la Sierra-Aoslos,1431,90,0,0,0,0,0,163,675,0,0,33,0,0,0,0,0,0,420,0,3,4.5,3,2
2019,Hoyo de Manzanares,1146,956,220,282,0,30,113,421,640,216,0,690,239,399,0,0,99,30,193,0,3,3,1,2
2019,Humanes de Madrid,3826,4455,959,691,400,393,421,24.986,3025.598,1863,0,3103.045,2670,1300,0,70,1144,340,1542,409,3,3,3,2
2019,Leganés,29762,22.727,3163,3676,2191,2965,2137,99.308,34.059,8.822000000000001,35,19.231,18.336,1852.29,0,135,4670,1455,3494,788,4,4,4,1
2019,Loeches,3301,1220,35,0,0,0,31,4915,868,524,0,1121,222,227,0,0,206,0,226,0,3,3,3,2
2019,Lozoya,99,73,0,0,0,0,0,612,36,0,0,0,0,0,0,0,0,0,0,0,4,4,3,2
2019,Lozoyuela-Navas-Sieteiglesias,1324,194,0,0,0,0,55,999,941,0,0,34,0,0,0,0,0,0,546,0,5,4.5,3,2
