CMUN,CDIS,tmed,prec,velmedia,presMax
001,01,11.476004337096574,3.6992270471268767,2.0902488571232865,904.2718610267417
002,01,15.318060544941895,0.8713862541806849,3.3520715777003067,946.6977000876756
003,01,12.009348888291226,2.038794158851002,2.986153474746487,880.7764027986841
004,01,15.138391826257994,1.054885121321992,2.919731021263015,931.9199235135528
005,01,15.274387206027873,0.8788329568550476,3.3317375355443724,945.8412095612674
005,02,15.31155971297073,0.8511378304090247,3.3729230583927885,946.8913867432991
005,03,15.308238774205078,0.8332135993915293,3.4092635630159274,947.3073120708352
005,04,15.219233387075171,0.9105703355790736,3.2927811732699013,944.5138108664316
005,05,15.193719870523486,0.9389478800948065,3.243589560717911,943.4553455279986
006,01,15.152173361292997,1.0356013198244953,2.9195957044174823,939.0855945524185
007,01,15.819175200561801,1.0268020094854622,3.0974635313084793,939.4032525726191
007,02,16.01272379111645,1.015418964332024,3.1940820068536224,940.5300471285944
007,03,15.942899946562095,1.0166445764800764,3.1571741786020726,940.6329670833024
007,04,15.854599463465314,1.020446427065156,3.1220197272234413,940.2711628565667
008,01,14.5471007398156,0.9067515796988692,2.601597524559399,925.2929968924191
009,01,14.878745576144155,1.0859925819830576,3.0294998114313776,934.0689356858622
010,01,11.275260492837733,1.6965752407060621,3.8581399091308235,866.6351298171272
011,01,15.039460462836445,1.0723457364840907,2.9555719852731577,936.44633735945
012,01,15.125314551520656,0.9945067417480219,3.1511584326746713,941.0723636936312
013,01,15.545670553809714,0.7992718419977664,1.9433928485506315,935.0336633177574
013,02,15.535654957972731,0.8067886005881766,1.9692522074048597,934.8417057594382
013,03,15.510857698017494,0.8274147095006845,2.0428728505669054,934.7324323427634
013,04,15.373416921809927,0.9049423635167742,2.285854738499191,933.4349856527836
014,01,15.387469253848908,1.0022052823044376,2.9136944631149837,940.7182228685027
015,01,15.439765026694236,1.0425425056584563,3.0006625720085793,936.1406254533387
016,01,12.792590539455773,2.010582428421024,2.383116036517813,907.0951843828138
017,01,15.346860218150072,1.044360881692289,2.9634312143681405,935.0870865542654
018,01,11.369272305805733,1.9994982858200043,3.4447326566836476,864.109206775528
019,01,15.28833524435706,0.9771197567696758,2.568600967301014,935.670335856903
020,01,12.63912244948224,1.8914923572589755,2.188132779216224,905.6385141307926
021,01,13.008672021590435,1.775741478448031,2.49475150963585,906.0897055593992
022,01,15.282803874870634,1.0693106989220527,2.92280605697382,933.5333200393019
023,01,11.706038538967112,1.9158967048133289,3.358995826051141,869.4697638927832
024,01,12.247646593055018,2.3933198609735666,2.120800937990806,904.5628682988038
025,01,15.011046757169337,1.088531916248743,2.8544700268243415,934.1635816964665
026,01,14.847754849912755,1.0791138870361388,2.9015680021305097,927.0317029854476
027,01,12.754557877237955,1.4999756421217076,2.0584110279826957,905.5322417898706
028,01,12.962962472293999,1.6871898771620448,2.7961840703340357,896.4321489312006
029,01,13.30879919419615,1.6093006785895345,2.7107710977876485,904.3686822202611
030,01,13.071631348478936,1.7187777026598507,2.586148922592337,904.3544960469853
031,01,14.263956718359738,1.0137523714326213,2.719686169867292,920.2238679565232
032,01,15.118175346370913,0.964577676281751,3.2316800636395704,942.1031826153795
033,01,15.286028664295568,1.0024946979336333,2.9847592966323764,940.6786884312241
034,01,12.549254925001865,1.8619283948840133,2.7554460786298383,892.6226847298943
035,01,15.147013708876118,1.0440406490258274,2.8606200367676853,936.6703495698195
036,01,15.504565710716474,1.0204654458908597,2.950179881492391,937.7961480519623
