id_area,nombre_area,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1
01,Sur-Este,41.89329842115639,862340,0.52074319131665,0.47925680868334997,0.15854248753391934,0.6732152226499988,0.16824103740983834,0.13996640710160727,0.20427779089454276,0.051207221397592595,0.03895576454762622,0.3600323644966023,0.14408131363499316,0.5193163163021546,0.6047756134471323
02,Centro-Norte,44.85909808258163,404085,0.5419659680512764,0.45803403194872366,0.129320235841469,0.6456866738433745,0.22499128896148088,0.127979078659193,0.18543760347451652,0.059308187633789915,0.052006470915772665,0.5572380447183142,0.09486110249081259,0.5069128450697254,0.5605799420913916
03,Este,41.16384266717831,383079,0.5091281304900557,0.49087186950994444,0.16718274402929945,0.6697046463001104,0.16311331004831903,0.152069098541032,0.19039650019969773,0.05762767418730862,0.04557208930794954,0.31964599677873234,0.14520694164911152,0.5250288634981296,0.6109222358834601
04,Noreste,43.50412369346362,615157,0.5321334753566975,0.4678665246433025,0.14952439864945047,0.6530477749582626,0.19742974687762638,0.12662688630707283,0.21324139658656246,0.05909754778048531,0.04845934988954039,0.4600101561064898,0.11547830163681792,0.5117620088855366,0.577307237501971
05,Norte,41.38839884460873,912485,0.5202001507969994,0.47913244097163243,0.1700457001484956,0.6590844417168501,0.17020326865647106,0.12484266185197565,0.1950002508534387,0.06406633665210935,0.05318346339939835,0.48722576206732165,0.10328147070910754,0.5420084093437153,0.6035461415804095
06,Oeste,40.89332753285501,763506,0.5178943806597459,0.48210561934025403,0.1769738214238002,0.6633208059923563,0.15970549242573076,0.11195588692164829,0.174690840936417,0.0791493114657907,0.06776100620034421,0.5436140325026916,0.09555283940139306,0.5306462246531134,0.5866625443676933
07,Centro-Oeste,45.378777260190965,511605,0.5296803899492772,0.4703197664213602,0.10542600248238387,0.6742432489909207,0.2203341368829468,0.17444925733720348,0.2629598930815766,0.05481008277870623,0.0465322139150321,0.49143647032378496,0.12170996139599886,0.4915713206477654,0.5597212806755212
08,Sur-Oeste I,42.347152717906724,532487,0.5122493140677613,0.48775068593223875,0.16596651185850547,0.6371548978660512,0.19687686572629942,0.11376467669633249,0.16046455894697897,0.054221762409223134,0.041200119251737596,0.3348780142989406,0.13692540531505934,0.5072725535083485,0.5849309451686144
09,Sur-Oeste Ii,42.051683228982085,406320,0.5116118795530616,0.48838834883835397,0.16035007555621186,0.6601574126304391,0.17949199940933253,0.1081656425969679,0.14966175748178775,0.04877361931482575,0.033896992025989364,0.24517437832250444,0.14635786350659577,0.5110123781748376,0.5961539399980311
10,Sur I,40.02239383715535,409470,0.5067507873592693,0.49324921264073074,0.18635132439494956,0.6575916177009306,0.15605982416294234,0.14720161867780301,0.1874406545046035,0.047120947322148145,0.033873766332087815,0.2954385972110289,0.1433497093804186,0.5367267777859184,0.622236321586441
11,Sur Ii,42.06148654832378,899702,0.5240445226308267,0.4759554773691734,0.15407926813544928,0.6753787068384866,0.17054487552545175,0.17470585938455177,0.2641878576461984,0.04898546629884117,0.03679912404329433,0.33460632809530266,0.15173208829145649,0.5024129926353392,0.5900027842552312
