CMUN,CDIS,tmed,prec,velmedia,presMax
001,01,12.261518572615783,1.9519844850759014,1.9327017216152005,905.5722057612317
002,01,16.01595414895384,0.9757789487937992,2.9964521029447986,946.7792306713995
003,01,13.00403155717085,1.9142269768429607,2.72545791997285,881.6706028212024
004,01,16.21604708566835,1.1881407242803175,2.553527049141204,932.513363392992
005,01,15.975865553800066,0.9800613574246437,2.991905235167268,945.8787886593076
005,02,15.986930987281733,0.9633375941479182,3.037136760253069,946.8818053487438
005,03,15.95976021679677,0.9520574882528237,3.0789890570323046,947.2478780532629
005,04,15.944786477661355,0.999257397478204,2.9494949468818916,944.5992471932607
005,05,15.949641769687638,1.0169355002353475,2.89692066043421,943.5980166822928
006,01,16.132600680756493,0.99327642666442,2.4593478834555738,939.6375129356163
007,01,16.892249187524804,1.135203331362866,2.64989941531867,939.9987503406155
007,02,17.01763751020573,1.1742518188220334,2.7465794610468457,941.1280111016684
007,03,16.98246778621663,1.14768145486158,2.7238105795896765,941.2251321419719
007,04,16.92038889326862,1.1309405550313745,2.698793582248729,940.8594876836211
008,01,15.572252982954081,1.3937901751857726,2.2935367821484673,925.9225960783216
009,01,15.746670106825869,1.1114129967139945,2.6567699764197528,934.5156403463642
010,01,12.935364794087802,2.053073705516319,3.4188239646060246,867.3491887898599
011,01,15.952575214319026,1.1096436329356658,2.6195935002093518,936.8636492780626
012,01,15.936339257669932,1.0521291313511882,2.801481392135288,941.316937438899
013,01,16.523116351365903,1.0143246215894928,1.906666316317751,935.58611523706
013,02,16.51534655857395,1.0178836523845562,1.9244548140356568,935.3949443331675
013,03,16.496876509941988,1.0276159129861477,1.97526639109934,935.2878769047096
013,04,16.379743409398017,1.0720595155303336,2.140848224368018,933.997873878007
014,01,16.349026476972483,1.0638869424898305,2.5798036780778513,941.1807749667516
015,01,16.532076011851856,1.1398314547101978,2.613842632435923,936.726226674463
016,01,13.796502373261399,1.3952303501966183,2.0640773067772353,908.2099309088253
017,01,16.428291176409818,1.1499752434962471,2.598993711653818,935.67047141917806
