mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN
2019-07,103,Bélgica,28007,Alcorcón,81,007
2019-07,107,Dinamarca,28007,Alcorcón,38,007
2019-07,110,Francia,28007,Alcorcón,597,007
2019-07,113,Irlanda,28007,Alcorcón,43,007
2019-07,115,Italia,28007,Alcorcón,117,007
2019-07,117,Luxemburgo,28007,Alcorcón,89,007
2019-07,121,Países Bajos,28007,Alcorcón,448,007
2019-07,122,Polonia,28007,Alcorcón,65,007
2019-07,123,Portugal,28007,Alcorcón,166,007
2019-07,125,Reino Unido,28007,Alcorcón,236,007
2019-07,126,Alemania,28007,Alcorcón,208,007
2019-07,128,Rumania,28007,Alcorcón,57,007
2019-07,131,Suecia,28007,Alcorcón,116,007
2019-07,132,Suiza,28007,Alcorcón,34,007
2019-07,135,Ucrania,28007,Alcorcón,122,007
2019-07,220,Guinea ecuatorial,28007,Alcorcón,43,007
2019-07,228,Marruecos,28007,Alcorcón,99,007
2019-07,302,EE.UU.,28007,Alcorcón,164,007
2019-07,342,Brasil,28007,Alcorcón,30,007
2019-07,343,Colombia,28007,Alcorcón,52,007
2019-07,407,China,28007,Alcorcón,94,007
2019-07,430,Republica de corea - corea del sur,28007,Alcorcón,35,007
2019-07,436,Turquia,28007,Alcorcón,47,007
2019-07,000,Total,28008,Aldea del Fresno,143,008
2019-07,010,Total Europa,28008,Aldea del Fresno,117,008
2019-07,011,Total Unión Europea,28008,Aldea del Fresno,109,008
2019-07,000,Total,28009,Algete,1275,009
2019-07,010,Total Europa,28009,Algete,1067,009
2019-07,011,Total Unión Europea,28009,Algete,968,009
2019-07,020,Total África,28009,Algete,47,009
2019-07,030,Total América,28009,Algete,118,009
2019-07,031,Total América del Norte,28009,Algete,93,009
2019-07,040,Total Asia,28009,Algete,42,009
2019-07,102,Austria,28009,Algete,51,009
2019-07,103,Bélgica,28009,Algete,104,009
2019-07,110,Francia,28009,Algete,238,009
2019-07,115,Italia,28009,Algete,36,009
2019-07,121,Países Bajos,28009,Algete,158,009
2019-07,122,Polonia,28009,Algete,64,009
2019-07,123,Portugal,28009,Algete,30,009
2019-07,125,Reino Unido,28009,Algete,76,009
2019-07,126,Alemania,28009,Algete,151,009
2019-07,131,Suecia,28009,Algete,48,009
2019-07,228,Marruecos,28009,Algete,38,009
2019-07,302,EE.UU.,28009,Algete,69,009
2019-07,407,China,28009,Algete,30,009
2019-07,000,Total,28010,Alpedrete,410,010
2019-07,010,Total Europa,28010,Alpedrete,356,010
2019-07,011,Total Unión Europea,28010,Alpedrete,293,010
2019-07,030,Total América,28010,Alpedrete,40,010
2019-07,110,Francia,28010,Alpedrete,99,010
2019-07,121,Países Bajos,28010,Alpedrete,51,010
2019-07,125,Reino Unido,28010,Alpedrete,55,010
2019-07,126,Alemania,28010,Alpedrete,45,010
2019-07,000,Total,28011,Ambite,59,011
2019-07,010,Total Europa,28011,Ambite,46,011
2019-07,011,Total Unión Europea,28011,Ambite,40,011
2019-07,000,Total,28012,Anchuelo,62,012
2019-07,010,Total Europa,28012,Anchuelo,54,012
2019-07,011,Total Unión Europea,28012,Anchuelo,50,012
2019-07,000,Total,28013,Aranjuez,1734,013
2019-07,010,Total Europa,28013,Aranjuez,1462,013
2019-07,011,Total Unión Europea,28013,Aranjuez,1264,013
2019-07,020,Total África,28013,Aranjuez,116,013
2019-07,030,Total América,28013,Aranjuez,138,013
2019-07,031,Total América del Norte,28013,Aranjuez,83,013
2019-07,033,Total Sudamérica,28013,Aranjuez,54,013
2019-07,102,Austria,28013,Aranjuez,50,013
2019-07,103,Bélgica,28013,Aranjuez,67,013
2019-07,110,Francia,28013,Aranjuez,374,013
2019-07,115,Italia,28013,Aranjuez,66,013
2019-07,117,Luxemburgo,28013,Aranjuez,56,013
2019-07,121,Países Bajos,28013,Aranjuez,217,013
2019-07,123,Portugal,28013,Aranjuez,66,013
2019-07,125,Reino Unido,28013,Aranjuez,156,013
2019-07,126,Alemania,28013,Aranjuez,136,013
2019-07,128,Rumania,28013,Aranjuez,52,013
2019-07,131,Suecia,28013,Aranjuez,95,013
2019-07,228,Marruecos,28013,Aranjuez,106,013
2019-07,302,EE.UU.,28013,Aranjuez,65,013
2019-07,000,Total,28014,Arganda del Rey,1878,014
2019-07,010,Total Europa,28014,Arganda del Rey,1531,014
2019-07,011,Total Unión Europea,28014,Arganda del Rey,1378,014
2019-07,020,Total África,28014,Arganda del Rey,44,014
2019-07,030,Total América,28014,Arganda del Rey,248,014
2019-07,031,Total América del Norte,28014,Arganda del Rey,138,014
2019-07,033,Total Sudamérica,28014,Arganda del Rey,108,014
2019-07,040,Total Asia,28014,Arganda del Rey,52,014
2019-07,102,Austria,28014,Arganda del Rey,87,014
2019-07,103,Bélgica,28014,Arganda del Rey,40,014
2019-07,110,Francia,28014,Arganda del Rey,329,014
2019-07,115,Italia,28014,Arganda del Rey,106,014
2019-07,117,Luxemburgo,28014,Arganda del Rey,55,014
2019-07,121,Países Bajos,28014,Arganda del Rey,289,014
2019-07,123,Portugal,28014,Arganda del Rey,70,014
2019-07,125,Reino Unido,28014,Arganda del Rey,101,014
2019-07,126,Alemania,28014,Arganda del Rey,129,014
2019-07,128,Rumania,28014,Arganda del Rey,158,014
2019-07,131,Suecia,28014,Arganda del Rey,54,014
2019-07,302,EE.UU.,28014,Arganda del Rey,120,014
2019-07,340,Argentina,28014,Arganda del Rey,30,014
2019-07,000,Total,28015,Arroyomolinos,891,015
2019-07,010,Total Europa,28015,Arroyomolinos,562,015
2019-07,011,Total Unión Europea,28015,Arroyomolinos,507,015
2019-07,030,Total América,28015,Arroyomolinos,47,015
2019-07,040,Total Asia,28015,Arroyomolinos,270,015
2019-07,102,Austria,28015,Arroyomolinos,66,015
2019-07,110,Francia,28015,Arroyomolinos,155,015
2019-07,121,Países Bajos,28015,Arroyomolinos,91,015
2019-07,123,Portugal,28015,Arroyomolinos,33,015
2019-07,125,Reino Unido,28015,Arroyomolinos,40,015
2019-07,126,Alemania,28015,Arroyomolinos,73,015
2019-07,407,China,28015,Arroyomolinos,263,015
2019-07,000,Total,28016,"Atazar, El",67,016
2019-07,010,Total Europa,28016,"Atazar, El",57,016
2019-07,011,Total Unión Europea,28016,"Atazar, El",54,016
2019-07,000,Total,28017,Batres,47,017
2019-07,010,Total Europa,28017,Batres,40,017
2019-07,011,Total Unión Europea,28017,Batres,37,017
2019-07,000,Total,28018,Becerril de la Sierra,92,018
2019-07,010,Total Europa,28018,Becerril de la Sierra,71,018
2019-07,011,Total Unión Europea,28018,Becerril de la Sierra,62,018
2019-07,000,Total,28019,Belmonte de Tajo,75,019
2019-07,010,Total Europa,28019,Belmonte de Tajo,68,019
2019-07,011,Total Unión Europea,28019,Belmonte de Tajo,56,019
2019-07,000,Total,28021,"Berrueco, El",198,021
2019-07,010,Total Europa,28021,"Berrueco, El",177,021
2019-07,011,Total Unión Europea,28021,"Berrueco, El",165,021
2019-07,110,Francia,28021,"Berrueco, El",39,021
2019-07,126,Alemania,28021,"Berrueco, El",50,021
2019-07,000,Total,28022,Boadilla del Monte,2545,022
2019-07,010,Total Europa,28022,Boadilla del Monte,2041,022
2019-07,011,Total Unión Europea,28022,Boadilla del Monte,1722,022
2019-07,030,Total América,28022,Boadilla del Monte,370,022
2019-07,031,Total América del Norte,28022,Boadilla del Monte,233,022
2019-07,033,Total Sudamérica,28022,Boadilla del Monte,133,022
2019-07,040,Total Asia,28022,Boadilla del Monte,115,022
2019-07,102,Austria,28022,Boadilla del Monte,341,022
2019-07,103,Bélgica,28022,Boadilla del Monte,34,022
2019-07,107,Dinamarca,28022,Boadilla del Monte,56,022
2019-07,110,Francia,28022,Boadilla del Monte,356,022
2019-07,115,Italia,28022,Boadilla del Monte,64,022
2019-07,117,Luxemburgo,28022,Boadilla del Monte,38,022
2019-07,121,Países Bajos,28022,Boadilla del Monte,391,022
2019-07,122,Polonia,28022,Boadilla del Monte,37,022
2019-07,123,Portugal,28022,Boadilla del Monte,96,022
2019-07,125,Reino Unido,28022,Boadilla del Monte,279,022
2019-07,126,Alemania,28022,Boadilla del Monte,188,022
2019-07,131,Suecia,28022,Boadilla del Monte,64,022
2019-07,132,Suiza,28022,Boadilla del Monte,30,022
2019-07,302,EE.UU.,28022,Boadilla del Monte,155,022
2019-07,340,Argentina,28022,Boadilla del Monte,58,022
2019-07,343,Colombia,28022,Boadilla del Monte,30,022
2019-07,407,China,28022,Boadilla del Monte,78,022
2019-07,000,Total,28023,"Boalo, El",258,023
2019-07,010,Total Europa,28023,"Boalo, El",203,023
2019-07,011,Total Unión Europea,28023,"Boalo, El",173,023
2019-07,030,Total América,28023,"Boalo, El",46,023
2019-07,110,Francia,28023,"Boalo, El",57,023
2019-07,126,Alemania,28023,"Boalo, El",35,023
2019-07,000,Total,28025,Brea de Tajo,88,025
2019-07,010,Total Europa,28025,Brea de Tajo,71,025
2019-07,011,Total Unión Europea,28025,Brea de Tajo,57,025
2019-07,000,Total,28026,Brunete,326,026
2019-07,010,Total Europa,28026,Brunete,270,026
2019-07,011,Total Unión Europea,28026,Brunete,238,026
2019-07,030,Total América,28026,Brunete,40,026
2019-07,110,Francia,28026,Brunete,73,026
2019-07,121,Países Bajos,28026,Brunete,57,026
2019-07,000,Total,28027,Buitrago del Lozoya,466,027
2019-07,010,Total Europa,28027,Buitrago del Lozoya,436,027
2019-07,011,Total Unión Europea,28027,Buitrago del Lozoya,406,027
2019-07,103,Bélgica,28027,Buitrago del Lozoya,31,027
2019-07,110,Francia,28027,Buitrago del Lozoya,274,027
2019-07,121,Países Bajos,28027,Buitrago del Lozoya,58,027
2019-07,000,Total,28028,Bustarviejo,143,028
2019-07,010,Total Europa,28028,Bustarviejo,96,028
2019-07,011,Total Unión Europea,28028,Bustarviejo,91,028
2019-07,110,Francia,28028,Bustarviejo,33,028
2019-07,000,Total,28029,Cabanillas de la Sierra,55,029
2019-07,010,Total Europa,28029,Cabanillas de la Sierra,50,029
2019-07,011,Total Unión Europea,28029,Cabanillas de la Sierra,42,029
2019-07,000,Total,28030,"Cabrera, La",455,030
2019-07,010,Total Europa,28030,"Cabrera, La",410,030
2019-07,011,Total Unión Europea,28030,"Cabrera, La",340,030
2019-07,030,Total América,28030,"Cabrera, La",35,030
2019-07,103,Bélgica,28030,"Cabrera, La",36,030
2019-07,110,Francia,28030,"Cabrera, La",114,030
2019-07,121,Países Bajos,28030,"Cabrera, La",49,030
2019-07,125,Reino Unido,28030,"Cabrera, La",58,030
2019-07,000,Total,28031,Cadalso de los Vidrios,77,031
2019-07,010,Total Europa,28031,Cadalso de los Vidrios,70,031
2019-07,011,Total Unión Europea,28031,Cadalso de los Vidrios,62,031
2019-07,000,Total,28032,Camarma de Esteruelas,172,032
2019-07,010,Total Europa,28032,Camarma de Esteruelas,138,032
2019-07,011,Total Unión Europea,28032,Camarma de Esteruelas,110,032
2019-07,000,Total,28033,Campo Real,139,033
2019-07,010,Total Europa,28033,Campo Real,109,033
2019-07,011,Total Unión Europea,28033,Campo Real,104,033
2019-07,000,Total,28034,Canencia,72,034
2019-07,010,Total Europa,28034,Canencia,68,034
2019-07,011,Total Unión Europea,28034,Canencia,62,034
2019-07,121,Países Bajos,28034,Canencia,31,034
2019-07,000,Total,28035,Carabaña,66,035
2019-07,010,Total Europa,28035,Carabaña,51,035
2019-07,011,Total Unión Europea,28035,Carabaña,38,035
2019-07,000,Total,28036,Casarrubuelos,129,036
2019-07,010,Total Europa,28036,Casarrubuelos,105,036
2019-07,011,Total Unión Europea,28036,Casarrubuelos,105,036
2019-07,110,Francia,28036,Casarrubuelos,36,036
2019-07,000,Total,28037,Cenicientos,36,037
2019-07,000,Total,28038,Cercedilla,281,038
2019-07,010,Total Europa,28038,Cercedilla,223,038
2019-07,011,Total Unión Europea,28038,Cercedilla,176,038
2019-07,030,Total América,28038,Cercedilla,47,038
2019-07,031,Total América del Norte,28038,Cercedilla,31,038
2019-07,102,Austria,28038,Cercedilla,42,038
2019-07,110,Francia,28038,Cercedilla,32,038
2019-07,125,Reino Unido,28038,Cercedilla,34,038
2019-07,000,Total,28040,Ciempozuelos,1274,040
2019-07,010,Total Europa,28040,Ciempozuelos,1143,040
2019-07,011,Total Unión Europea,28040,Ciempozuelos,1081,040
2019-07,020,Total África,28040,Ciempozuelos,32,040
2019-07,030,Total América,28040,Ciempozuelos,83,040
2019-07,031,Total América del Norte,28040,Ciempozuelos,41,040
2019-07,033,Total Sudamérica,28040,Ciempozuelos,36,040
2019-07,103,Bélgica,28040,Ciempozuelos,74,040
2019-07,107,Dinamarca,28040,Ciempozuelos,224,040
2019-07,110,Francia,28040,Ciempozuelos,222,040
2019-07,115,Italia,28040,Ciempozuelos,61,040
2019-07,121,Países Bajos,28040,Ciempozuelos,106,040
2019-07,122,Polonia,28040,Ciempozuelos,38,040
2019-07,123,Portugal,28040,Ciempozuelos,53,040
2019-07,125,Reino Unido,28040,Ciempozuelos,49,040
2019-07,126,Alemania,28040,Ciempozuelos,121,040
2019-07,131,Suecia,28040,Ciempozuelos,80,040
2019-07,302,EE.UU.,28040,Ciempozuelos,39,040
2019-07,000,Total,28041,Cobeña,202,041
2019-07,010,Total Europa,28041,Cobeña,164,041
2019-07,011,Total Unión Europea,28041,Cobeña,127,041
2019-07,030,Total América,28041,Cobeña,33,041
2019-07,102,Austria,28041,Cobeña,45,041
2019-07,110,Francia,28041,Cobeña,35,041
2019-07,125,Reino Unido,28041,Cobeña,31,041
2019-07,000,Total,28043,Colmenar de Oreja,132,043
2019-07,010,Total Europa,28043,Colmenar de Oreja,124,043
2019-07,011,Total Unión Europea,28043,Colmenar de Oreja,112,043
2019-07,110,Francia,28043,Colmenar de Oreja,53,043
2019-07,000,Total,28044,Colmenarejo,344,044
2019-07,010,Total Europa,28044,Colmenarejo,276,044
2019-07,011,Total Unión Europea,28044,Colmenarejo,224,044
2019-07,030,Total América,28044,Colmenarejo,51,044
2019-07,031,Total América del Norte,28044,Colmenarejo,30,044
2019-07,110,Francia,28044,Colmenarejo,62,044
2019-07,121,Países Bajos,28044,Colmenarejo,43,044
2019-07,125,Reino Unido,28044,Colmenarejo,40,044
2019-07,126,Alemania,28044,Colmenarejo,30,044
2019-07,302,EE.UU.,28044,Colmenarejo,30,044
2019-07,000,Total,28045,Colmenar Viejo,1434,045
2019-07,010,Total Europa,28045,Colmenar Viejo,1218,045
2019-07,011,Total Unión Europea,28045,Colmenar Viejo,1076,045
2019-07,020,Total África,28045,Colmenar Viejo,48,045
2019-07,030,Total América,28045,Colmenar Viejo,146,045
2019-07,031,Total América del Norte,28045,Colmenar Viejo,102,045
2019-07,033,Total Sudamérica,28045,Colmenar Viejo,37,045
2019-07,102,Austria,28045,Colmenar Viejo,60,045
2019-07,103,Bélgica,28045,Colmenar Viejo,50,045
2019-07,110,Francia,28045,Colmenar Viejo,363,045
2019-07,115,Italia,28045,Colmenar Viejo,37,045
2019-07,117,Luxemburgo,28045,Colmenar Viejo,34,045
2019-07,121,Países Bajos,28045,Colmenar Viejo,194,045
2019-07,122,Polonia,28045,Colmenar Viejo,35,045
2019-07,123,Portugal,28045,Colmenar Viejo,62,045
2019-07,125,Reino Unido,28045,Colmenar Viejo,131,045
2019-07,126,Alemania,28045,Colmenar Viejo,107,045
2019-07,131,Suecia,28045,Colmenar Viejo,37,045
2019-07,228,Marruecos,28045,Colmenar Viejo,42,045
2019-07,302,EE.UU.,28045,Colmenar Viejo,70,045
2019-07,000,Total,28046,Collado Mediano,241,046
2019-07,010,Total Europa,28046,Collado Mediano,205,046
2019-07,011,Total Unión Europea,28046,Collado Mediano,159,046
2019-07,110,Francia,28046,Collado Mediano,52,046
2019-07,121,Países Bajos,28046,Collado Mediano,33,046
2019-07,125,Reino Unido,28046,Collado Mediano,43,046
2019-07,000,Total,28047,Collado Villalba,1703,047
2019-07,010,Total Europa,28047,Collado Villalba,1312,047
2019-07,011,Total Unión Europea,28047,Collado Villalba,1124,047
2019-07,020,Total África,28047,Collado Villalba,78,047
2019-07,030,Total América,28047,Collado Villalba,197,047
2019-07,031,Total América del Norte,28047,Collado Villalba,111,047
2019-07,033,Total Sudamérica,28047,Collado Villalba,81,047
2019-07,040,Total Asia,28047,Collado Villalba,113,047
2019-07,102,Austria,28047,Collado Villalba,69,047
2019-07,103,Bélgica,28047,Collado Villalba,38,047
2019-07,104,Bulgaria,28047,Collado Villalba,45,047
2019-07,110,Francia,28047,Collado Villalba,349,047
2019-07,115,Italia,28047,Collado Villalba,43,047
2019-07,117,Luxemburgo,28047,Collado Villalba,47,047
2019-07,121,Países Bajos,28047,Collado Villalba,251,047
2019-07,123,Portugal,28047,Collado Villalba,50,047
2019-07,125,Reino Unido,28047,Collado Villalba,156,047
2019-07,126,Alemania,28047,Collado Villalba,88,047
2019-07,128,Rumania,28047,Collado Villalba,30,047
2019-07,131,Suecia,28047,Collado Villalba,64,047
2019-07,228,Marruecos,28047,Collado Villalba,64,047
2019-07,302,EE.UU.,28047,Collado Villalba,74,047
2019-07,343,Colombia,28047,Collado Villalba,38,047
2019-07,407,China,28047,Collado Villalba,37,047
2019-07,430,Republica de corea - corea del sur,28047,Collado Villalba,59,047
2019-07,000,Total,28048,Corpa,46,048
2019-07,010,Total Europa,28048,Corpa,42,048
2019-07,011,Total Unión Europea,28048,Corpa,37,048
2019-07,000,Total,28049,Coslada,2725,049
2019-07,010,Total Europa,28049,Coslada,2095,049
2019-07,011,Total Unión Europea,28049,Coslada,1611,049
2019-07,030,Total América,28049,Coslada,459,049
2019-07,031,Total América del Norte,28049,Coslada,311,049
2019-07,033,Total Sudamérica,28049,Coslada,143,049
2019-07,040,Total Asia,28049,Coslada,143,049
2019-07,102,Austria,28049,Coslada,79,049
2019-07,103,Bélgica,28049,Coslada,80,049
2019-07,110,Francia,28049,Coslada,247,049
2019-07,115,Italia,28049,Coslada,107,049
2019-07,116,Liechtenstein,28049,Coslada,227,049
2019-07,117,Luxemburgo,28049,Coslada,33,049
2019-07,121,Países Bajos,28049,Coslada,219,049
2019-07,122,Polonia,28049,Coslada,57,049
2019-07,123,Portugal,28049,Coslada,120,049
2019-07,125,Reino Unido,28049,Coslada,200,049
2019-07,126,Alemania,28049,Coslada,264,049
2019-07,128,Rumania,28049,Coslada,203,049
2019-07,131,Suecia,28049,Coslada,134,049
