CMUN,id_zona,nombre_zona,nsec,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,area,densidad_hab_km
001,033,Buitrago de Lozoya,1,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519448373.768941,0.10588155200282692
002,064,Daganzo de Arriba,2,39.40747137492176,4793,0.4777851450031295,0.5222148549968705,0.16962893803463383,0.7218957646567912,0.10847529730857501,0.15562991863133738,0.1959363446693094,0.4131831420822032,0.4099532234508658,0.44079899853953686,0.10715222199040267,0.6008132484873775,0.6730931775505946,127157816.254774,37.69331796636647
003,222,Rascafría,1,47.459700000000005,248,0.39520000000000005,0.6048,0.1371,0.6573,0.20559999999999998,0.11290000000000001,0.1411,0.1542,0.1449,0.528,0.0932,0.5,0.5514,258284986.107943,0.9601796981585113
004,183,Navalcarnero,4,41.46662452242107,9946,0.5015108686909311,0.498489131309069,0.1810683591393525,0.6420632716670018,0.17684664186607682,0.15474241906293987,0.1912543032374824,0.1573245123667806,0.15046839935652523,0.2942033581339232,0.16675871707218984,0.4777910315704806,0.5729138548160064,186167962.09701,53.42487444116326
005,044,Carmen Calzado,29,45.998771173321295,31006,0.5298302554344321,0.4701697445655679,0.11419778429981293,0.6427127072179578,0.24307467264400437,0.1964784944849384,0.24000692446623234,0.07438074888731212,0.06545226730310262,0.3850912533058118,0.14129129200799845,0.45656793201315876,0.5316056859962588,1074963.96323444,28843.757614633516
005,118,Juan de Austria,11,49.348482260692464,4910,0.5337863543788187,0.4662136456211812,0.10916853360488797,0.5556325458248472,0.33523254582484724,0.21488521384928716,0.23320114052953156,0.056491323828920574,0.049411018329938904,0.2633141955193483,0.1709335234215886,0.37137323828920565,0.44784837067209776,6031675.03566793,814.0358973195712
005,123,La Garena,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17069020.2189585,NA
005,154,Luis Vives,25,37.563499681385565,48962,0.5081576957640619,0.4918423042359381,0.21320761406805278,0.6869155344961398,0.09986566112495406,0.09753450022466402,0.12706543646092888,0.07996548343613415,0.06746288346064296,0.44237366324905025,0.11410507332216821,0.6010209488991463,0.6749458437155346,1368811.97139383,35769.70469519135
005,156,Manuel Merino,10,42.524482134177774,13579,0.5104240002945725,0.48957599970542753,0.14322428750276162,0.6885072170262906,0.16826370130348334,0.13773312467781132,0.16678427719272407,0.08088650121511157,0.06924251417630164,0.37026509315855366,0.13099003608513146,0.5059445982767509,0.580321872008248,462730.319989937,29345.386315500793
005,165,María de Guzmán,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4387189.09126047,NA
005,171,Miguel de Cervantes,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14391145.7193567,NA
005,185,Nuestra Señora del Pilar,12,43.22905351841807,20279,0.5065867399773164,0.49341326002268354,0.1436004043591893,0.655067917550175,0.20135873070664234,0.21327972286601904,0.24151580452685042,0.05312018837220771,0.04268459490112924,0.22870979831352634,0.16947670003451848,0.46915186646284335,0.5630996942650033,9072998.48704829,2235.093506181918
