.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi
NA,ACTUAL,actual,2022-03-14,32.7675,NA,NA
NA,ACTUAL,actual,2022-03-21,31.6325,NA,NA
NA,ACTUAL,actual,2022-04-04,30.25,NA,NA
NA,ACTUAL,actual,2022-04-11,31.865000000000002,NA,NA
NA,ACTUAL,actual,2022-04-18,34.3575,NA,NA
NA,ACTUAL,actual,2022-04-25,34.79,NA,NA
NA,ACTUAL,actual,2022-05-02,35.0125,NA,NA
NA,ACTUAL,actual,2022-05-09,35.6675,NA,NA
NA,ACTUAL,actual,2022-05-16,37.43,NA,NA
NA,ACTUAL,actual,2022-05-23,36.962500000000006,NA,NA
NA,ACTUAL,actual,2022-05-30,37.292500000000004,NA,NA
NA,ACTUAL,actual,2022-06-06,37.447500000000005,NA,NA
NA,ACTUAL,actual,2022-06-13,34.49250000000001,NA,NA
NA,ACTUAL,actual,2022-06-20,35.74,NA,NA
NA,ACTUAL,actual,2022-07-04,36.052499999999995,NA,NA
NA,ACTUAL,actual,2022-07-11,36.552499999999995,NA,NA
NA,ACTUAL,actual,2022-07-18,36.5625,NA,NA
NA,ACTUAL,actual,2022-07-25,36.665,NA,NA
NA,ACTUAL,actual,2022-08-01,39.6575,NA,NA
NA,ACTUAL,actual,2022-08-08,41.575,NA,NA
NA,ACTUAL,actual,2022-08-15,42.6575,NA,NA
NA,ACTUAL,actual,2022-08-22,44.2825,NA,NA
NA,ACTUAL,actual,2022-08-29,42.005,NA,NA
NA,ACTUAL,actual,2022-09-05,40.195,NA,NA
NA,ACTUAL,actual,2022-09-12,37.802499999999995,NA,NA
NA,ACTUAL,actual,2022-09-19,34.335,NA,NA
NA,ACTUAL,actual,2022-09-26,30.0125,NA,NA
NA,ACTUAL,actual,2022-10-03,30.0125,NA,NA
NA,ACTUAL,actual,2022-10-10,29.04,NA,NA
NA,ACTUAL,actual,2022-10-17,28.887500000000003,NA,NA
NA,ACTUAL,actual,2022-10-24,29.135,NA,NA
NA,ACTUAL,actual,2022-10-31,30.552500000000002,NA,NA
1,PROPHET W/ XGBOOST ERRORS,prediction,2022-11-07,29.681648631196467,29.257159479377336,30.106137783015598
1,PROPHET W/ XGBOOST ERRORS,prediction,2022-11-14,29.77479065992476,29.35030150810563,30.199279811743892
1,PROPHET W/ XGBOOST ERRORS,prediction,2022-11-21,29.457091427244386,29.032602275425255,29.881580579063517
1,PROPHET W/ XGBOOST ERRORS,prediction,2022-11-28,28.04207249172372,27.617583339904588,28.46656164354285
1,PROPHET W/ XGBOOST ERRORS,prediction,2022-12-05,28.69306030717926,28.268571155360128,29.11754945899839
