Id_Recinto,Recinto,Pabellon,Latitud,Longitud,Nombre,Descripción,Ejecutante,Categoria,Subcategoria_1,Subcategoria_2,Subcategoria_3,Tipo_contenido_1,Tipo_contenido_2,Tipo_contenido_3,Aforo,Precio,Fecha_Inicio,Fecha_Fin,Hora_apertura_1,Hora_cierre_1,Hora_apertura_2,Hora_cierre_2,Restricciones,Tipo_espacio
59,IFEMA,Parking Verde,40.46853,-3.62093,Parking Verde 3,Parking Verde 3,,Aparcamiento,Principal,Publico,,,,,200,Bajo,,,8:00,0:00,,,,Abierto
60,IFEMA,Parking Marron,40.47086,-3.61448,Parking Marron,Parking Marron,,Aparcamiento,Principal,Publico,,,,,200,Bajo,,,8:00,0:00,,,,Abierto
61,IFEMA,Parking Rojo,40.4695,-3.61418,Parking Rojo 1,Parking Rojo 1,,Aparcamiento,Principal,Publico,,,,,200,Bajo,,,8:00,0:00,,,,Abierto
62,IFEMA,Parking Rojo,40.46964,-3.6132,Parking Rojo 2,Parking Rojo 2,,Aparcamiento,Principal,Publico,,,,,200,Bajo,,,8:00,0:00,,,,Abierto
63,IFEMA,Parking D,40.46707,-3.62027,Parking D 1,Parking D 1,,Aparcamiento,Secundario,privado,,,,,100,Bajo,,,8:00,0:00,,,,Abierto
64,IFEMA,Parking D,40.46591,-3.62002,Parking D 2,Parking D 2,,Aparcamiento,Secundario,privado,,,,,100,Bajo,,,8:00,0:00,,,,Abierto
65,IFEMA,Parking Amarillo,40.46408,-3.61872,Parking Amarillo,Parking Amarillo,,Aparcamiento,Principal,Publico,,,,,300,Bajo,,,8:00,0:00,,,,Abierto
66,IFEMA,Parking Violeta,40.46476,-3.61409,Parking Violeta,Parking Violeta,,Aparcamiento,Principal,Publico,,,,,300,Bajo,,,8:00,0:00,,,,Abierto
67,IFEMA,,40.46774,-3.6167,Cajero ibercaja,Cajero  perteneciente a la entidad bancaria Ibercaja disponible para todo el mundo,,Cajero,Publico,,,Ibercaja,,,,Gratuito,,,8:00,0:00,,,,Abierto
68,IFEMA,,40.4693178,-3.6177653,Servicio Médico,Puesto de atención médica en el Pabellón 7,,Punto sanitario,Publico,,,,,,15,Gratuito,,,8:00,0:00,,,,Cerrado
69,IFEMA,,40.4694275,-3.6176933,Oficina de Correos,Oficina de correos cerca del Pabellón 9,,Correos,Publico,,,,,,10,Gratuito,,,8:00,0:00,,,,Cerrado
