anyo,mun_dest,receptor,Andalucía,Aragón,"Asturias, Principado de","Balears, Illes",Canarias,Cantabria,Castilla - La Mancha,Castilla y León,Cataluña,Ceuta,Comunitat Valenciana,Extremadura,Galicia,"Madrid, Comunidad de",Melilla,"Murcia, Región de","Navarra, Comunidad Foral de",País Vasco,"Rioja, La",comercio,hosteleria,turismo,cluster
2020,"Boalo, El",2040,1078,147,252,0,272,0,1345,1217,506,0,433,78,1214,0,0,0,33,209,0,2,3,3,3
2020,Brunete,2755,1753,171,320,0,133,125,2940,2329,799,0,934,1197,1424,0,0,93,55,326,0,4,3,3,3
2020,Buitrago del Lozoya,735,3667,0,0,0,0,0,1503,959,57,0,54,0,34,0,0,0,0,307,33,3,3,3,3
2020,Bustarviejo,1339,213,0,34,0,32,0,7588,324,0,0,209,0,327,0,0,62,0,78,0,3,4,1,3
2020,"Cabrera, La",2995,1530,0,44,0,0,233,4230,944,68,0,324,0,506,0,0,0,0,963,0,3,3,3,3
2020,Cadalso de los Vidrios,774,106,0,33,0,0,0,9738,8234,85,0,77,0,188,0,0,0,0,0,0,4,3.5,3,3
2020,Camarma de Esteruelas,1580,806,70,0,0,0,0,16527,338,424,0,543,44,658,0,0,0,0,0,0,1.5,1,1,3
2020,Campo Real,1774,669,0,149,0,0,0,2075,410,210,0,846,157,481,0,0,39,0,70,0,3.5,4,4,3
2020,Carabaña,1027,34,0,0,0,31,0,1047,31,0,0,0,0,44,0,0,0,0,0,0,3,3,3,3
2020,Casarrubuelos,1240,871,0,0,0,0,0,54509,300,0,0,293,328,348,0,0,0,0,0,0,3.5,3,3,4
2020,Cercedilla,1662,1167,77,260,0,0,0,1762,3197,676,0,697,32,1640,0,0,79,0,148,0,3,3,4,3
2020,Chinchón,1113,1259,107,80,46,0,0,5989,629,512,0,1373,140,355,0,0,78,0,72,0,3,3,3,3
2020,Ciempozuelos,17504,9207,865,642,50,315,107,109865,2441,1745,0,5405,1256,4117,0,0,1747,35,904,99,3,2,3,4
2020,Cobeña,1283,872,0,0,0,0,151,5591,573,313,0,593,68,872,0,0,0,0,32,0,3,3,3,3
2020,Collado Mediano,2475,1463,119,823,0,30,43,1858,5653,436,0,869,239,2391,0,0,195,0,233,0,3,3,3,3
2020,Collado Villalba,13834,6787,770,2234,571,796,664,9041,14506,2308,0,4499,1637,8406,0,0,1144,131,1191,146,3,3,3,3
2020,Colmenar Viejo,13596,7897,1153,1636,542,845,699,10473,8491,2674,0,4630,2006,6608,0,0,1282,118,1611,130,3,2,4.5,3
2020,Colmenar de Oreja,1488,984,0,42,0,0,39,19646,144,55,0,547,62,246,0,0,0,0,0,0,3,4,2,3
2020,Colmenar del Arroyo,61,0,0,0,0,0,0,135,42,0,0,0,0,30,0,0,0,0,0,0,3,4.5,3,3
2020,Colmenarejo,2659,814,33,35,0,0,31,1375,906,138,0,502,168,707,0,0,0,0,0,0,3,3,2,3
2020,Coslada,25253,15162,2370,1918,815,1069,917,42679,12050,9963,0,10207,5084,12113,0,0,3074,1050,1945,711,4,4,3,4
2020,Cubas de la Sagra,1026,489,35,0,0,0,106,30861,62,0,0,74,196,199,0,0,31,0,0,0,3.5,2,4,3
2020,Daganzo de Arriba,2870,2596,177,272,0,33,0,7727,1280,689,0,1054,488,684,0,0,40,0,569,0,4.5,3,3,3
2020,"Escorial, El",3205,2026,257,653,259,116,220,2397,4248,922,0,1295,441,1951,0,0,173,0,638,0,3,3,4,3
2020,Fresnedillas de la Oliva,50,0,0,0,0,0,0,94,47,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3
2020,Fresno de Torote,570,297,0,0,0,0,0,6443,69,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
2020,Fuenlabrada,38599,26037,3887,4592,1594,2452,1955,122675,24603,8979,0,16825,14926,18975,0,118,4988,1552,4335,822,3,3,3,4
2020,Fuente el Saz de Jarama,1371,702,0,0,0,0,0,16304,519,214,0,298,31,268,0,0,0,0,79,0,4,2,3,3
2020,Fuentidueña de Tajo,559,0,0,0,0,0,0,5347,30,0,0,628,0,0,0,0,170,0,0,0,3,2,3,3
2020,Galapagar,8796,3860,685,1383,417,610,566,4292,7360,1985,0,2702,968,5108,0,0,672,237,1029,82,3,3,3,3
2020,Garganta de los Montes,751,0,0,0,0,0,0,912,62,33,0,0,0,30,0,0,0,0,0,0,3,4,3,3
