mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target
2019-07,414,ISRAEL,28006,ALCOBENDAS,65,006,65
2019-07,415,JAPÓN,28006,ALCOBENDAS,45,006,45
2019-07,430,REPUBLICA DE COREA - COREA DEL SUR,28006,ALCOBENDAS,52,006,52
2019-07,436,TURQUIA,28006,ALCOBENDAS,42,006,42
2019-07,000,TOTAL,28007,ALCORCÓN,3481,007,3481
2019-07,010,TOTAL EUROPA,28007,ALCORCÓN,2698,007,2698
2019-07,011,TOTAL UNIÓN EUROPEA,28007,ALCORCÓN,2281,007,2281
2019-07,020,TOTAL ÁFRICA,28007,ALCORCÓN,164,007,164
2019-07,030,TOTAL AMÉRICA,28007,ALCORCÓN,410,007,410
2019-07,031,TOTAL AMÉRICA DEL NORTE,28007,ALCORCÓN,228,007,228
2019-07,033,TOTAL SUDAMÉRICA,28007,ALCORCÓN,176,007,176
2019-07,040,TOTAL ASIA,28007,ALCORCÓN,205,007,205
2019-07,102,AUSTRIA,28007,ALCORCÓN,226,007,226
2019-07,103,BÉLGICA,28007,ALCORCÓN,81,007,81
2019-07,107,DINAMARCA,28007,ALCORCÓN,38,007,38
2019-07,110,FRANCIA,28007,ALCORCÓN,597,007,597
2019-07,113,IRLANDA,28007,ALCORCÓN,43,007,43
2019-07,115,ITALIA,28007,ALCORCÓN,117,007,117
2019-07,117,LUXEMBURGO,28007,ALCORCÓN,89,007,89
2019-07,121,PAÍSES BAJOS,28007,ALCORCÓN,448,007,448
2019-07,122,POLONIA,28007,ALCORCÓN,65,007,65
2019-07,123,PORTUGAL,28007,ALCORCÓN,166,007,166
2019-07,125,REINO UNIDO,28007,ALCORCÓN,236,007,236
2019-07,126,ALEMANIA,28007,ALCORCÓN,208,007,208
2019-07,128,RUMANIA,28007,ALCORCÓN,57,007,57
2019-07,131,SUECIA,28007,ALCORCÓN,116,007,116
2019-07,132,SUIZA,28007,ALCORCÓN,34,007,34
2019-07,135,UCRANIA,28007,ALCORCÓN,122,007,122
2019-07,220,GUINEA ECUATORIAL,28007,ALCORCÓN,43,007,43
2019-07,228,MARRUECOS,28007,ALCORCÓN,99,007,99
2019-07,302,EE.UU.,28007,ALCORCÓN,164,007,164
2019-07,342,BRASIL,28007,ALCORCÓN,30,007,30
2019-07,343,COLOMBIA,28007,ALCORCÓN,52,007,52
2019-07,407,CHINA,28007,ALCORCÓN,94,007,94
2019-07,430,REPUBLICA DE COREA - COREA DEL SUR,28007,ALCORCÓN,35,007,35
2019-07,436,TURQUIA,28007,ALCORCÓN,47,007,47
2019-07,000,TOTAL,28008,ALDEA DEL FRESNO,143,008,143
2019-07,010,TOTAL EUROPA,28008,ALDEA DEL FRESNO,117,008,117
2019-07,011,TOTAL UNIÓN EUROPEA,28008,ALDEA DEL FRESNO,109,008,109
2019-07,000,TOTAL,28009,ALGETE,1275,009,1275
2019-07,010,TOTAL EUROPA,28009,ALGETE,1067,009,1067
2019-07,011,TOTAL UNIÓN EUROPEA,28009,ALGETE,968,009,968
2019-07,020,TOTAL ÁFRICA,28009,ALGETE,47,009,47
2019-07,030,TOTAL AMÉRICA,28009,ALGETE,118,009,118
2019-07,031,TOTAL AMÉRICA DEL NORTE,28009,ALGETE,93,009,93
2019-07,040,TOTAL ASIA,28009,ALGETE,42,009,42
2019-07,102,AUSTRIA,28009,ALGETE,51,009,51
2019-07,103,BÉLGICA,28009,ALGETE,104,009,104
2019-07,110,FRANCIA,28009,ALGETE,238,009,238
2019-07,115,ITALIA,28009,ALGETE,36,009,36
2019-07,121,PAÍSES BAJOS,28009,ALGETE,158,009,158
2019-07,122,POLONIA,28009,ALGETE,64,009,64
2019-07,123,PORTUGAL,28009,ALGETE,30,009,30
2019-07,125,REINO UNIDO,28009,ALGETE,76,009,76
2019-07,126,ALEMANIA,28009,ALGETE,151,009,151
2019-07,131,SUECIA,28009,ALGETE,48,009,48
2019-07,228,MARRUECOS,28009,ALGETE,38,009,38
2019-07,302,EE.UU.,28009,ALGETE,69,009,69
2019-07,407,CHINA,28009,ALGETE,30,009,30
2019-07,000,TOTAL,28010,ALPEDRETE,410,010,410
2019-07,010,TOTAL EUROPA,28010,ALPEDRETE,356,010,356
2019-07,011,TOTAL UNIÓN EUROPEA,28010,ALPEDRETE,293,010,293
2019-07,030,TOTAL AMÉRICA,28010,ALPEDRETE,40,010,40
2019-07,110,FRANCIA,28010,ALPEDRETE,99,010,99
2019-07,121,PAÍSES BAJOS,28010,ALPEDRETE,51,010,51
2019-07,125,REINO UNIDO,28010,ALPEDRETE,55,010,55
2019-07,126,ALEMANIA,28010,ALPEDRETE,45,010,45
2019-07,000,TOTAL,28011,AMBITE,59,011,59
2019-07,010,TOTAL EUROPA,28011,AMBITE,46,011,46
2019-07,011,TOTAL UNIÓN EUROPEA,28011,AMBITE,40,011,40
2019-07,000,TOTAL,28012,ANCHUELO,62,012,62
2019-07,010,TOTAL EUROPA,28012,ANCHUELO,54,012,54
2019-07,011,TOTAL UNIÓN EUROPEA,28012,ANCHUELO,50,012,50
2019-07,000,TOTAL,28013,ARANJUEZ,1734,013,1734
2019-07,010,TOTAL EUROPA,28013,ARANJUEZ,1462,013,1462
2019-07,011,TOTAL UNIÓN EUROPEA,28013,ARANJUEZ,1264,013,1264
2019-07,020,TOTAL ÁFRICA,28013,ARANJUEZ,116,013,116
2019-07,030,TOTAL AMÉRICA,28013,ARANJUEZ,138,013,138
2019-07,031,TOTAL AMÉRICA DEL NORTE,28013,ARANJUEZ,83,013,83
2019-07,033,TOTAL SUDAMÉRICA,28013,ARANJUEZ,54,013,54
2019-07,102,AUSTRIA,28013,ARANJUEZ,50,013,50
2019-07,103,BÉLGICA,28013,ARANJUEZ,67,013,67
2019-07,110,FRANCIA,28013,ARANJUEZ,374,013,374
2019-07,115,ITALIA,28013,ARANJUEZ,66,013,66
2019-07,117,LUXEMBURGO,28013,ARANJUEZ,56,013,56
2019-07,121,PAÍSES BAJOS,28013,ARANJUEZ,217,013,217
2019-07,123,PORTUGAL,28013,ARANJUEZ,66,013,66
2019-07,125,REINO UNIDO,28013,ARANJUEZ,156,013,156
2019-07,126,ALEMANIA,28013,ARANJUEZ,136,013,136
2019-07,128,RUMANIA,28013,ARANJUEZ,52,013,52
2019-07,131,SUECIA,28013,ARANJUEZ,95,013,95
2019-07,228,MARRUECOS,28013,ARANJUEZ,106,013,106
2019-07,302,EE.UU.,28013,ARANJUEZ,65,013,65
2019-07,000,TOTAL,28014,ARGANDA DEL REY,1878,014,1878
2019-07,010,TOTAL EUROPA,28014,ARGANDA DEL REY,1531,014,1531
2019-07,011,TOTAL UNIÓN EUROPEA,28014,ARGANDA DEL REY,1378,014,1378
2019-07,020,TOTAL ÁFRICA,28014,ARGANDA DEL REY,44,014,44
2019-07,030,TOTAL AMÉRICA,28014,ARGANDA DEL REY,248,014,248
2019-07,031,TOTAL AMÉRICA DEL NORTE,28014,ARGANDA DEL REY,138,014,138
2019-07,033,TOTAL SUDAMÉRICA,28014,ARGANDA DEL REY,108,014,108
2019-07,040,TOTAL ASIA,28014,ARGANDA DEL REY,52,014,52
2019-07,102,AUSTRIA,28014,ARGANDA DEL REY,87,014,87
2019-07,103,BÉLGICA,28014,ARGANDA DEL REY,40,014,40
2019-07,110,FRANCIA,28014,ARGANDA DEL REY,329,014,329
2019-07,115,ITALIA,28014,ARGANDA DEL REY,106,014,106
2019-07,117,LUXEMBURGO,28014,ARGANDA DEL REY,55,014,55
2019-07,121,PAÍSES BAJOS,28014,ARGANDA DEL REY,289,014,289
2019-07,123,PORTUGAL,28014,ARGANDA DEL REY,70,014,70
2019-07,125,REINO UNIDO,28014,ARGANDA DEL REY,101,014,101
2019-07,126,ALEMANIA,28014,ARGANDA DEL REY,129,014,129
2019-07,128,RUMANIA,28014,ARGANDA DEL REY,158,014,158
2019-07,131,SUECIA,28014,ARGANDA DEL REY,54,014,54
2019-07,302,EE.UU.,28014,ARGANDA DEL REY,120,014,120
2019-07,340,ARGENTINA,28014,ARGANDA DEL REY,30,014,30
2019-07,000,TOTAL,28015,ARROYOMOLINOS,891,015,891
2019-07,010,TOTAL EUROPA,28015,ARROYOMOLINOS,562,015,562
2019-07,011,TOTAL UNIÓN EUROPEA,28015,ARROYOMOLINOS,507,015,507
2019-07,030,TOTAL AMÉRICA,28015,ARROYOMOLINOS,47,015,47
2019-07,040,TOTAL ASIA,28015,ARROYOMOLINOS,270,015,270
2019-07,102,AUSTRIA,28015,ARROYOMOLINOS,66,015,66
2019-07,110,FRANCIA,28015,ARROYOMOLINOS,155,015,155
2019-07,121,PAÍSES BAJOS,28015,ARROYOMOLINOS,91,015,91
2019-07,123,PORTUGAL,28015,ARROYOMOLINOS,33,015,33
2019-07,125,REINO UNIDO,28015,ARROYOMOLINOS,40,015,40
2019-07,126,ALEMANIA,28015,ARROYOMOLINOS,73,015,73
2019-07,407,CHINA,28015,ARROYOMOLINOS,263,015,263
2019-07,000,TOTAL,28016,"ATAZAR, EL",67,016,67
2019-07,010,TOTAL EUROPA,28016,"ATAZAR, EL",57,016,57
