id,intensidad,ocupacion,carga,vmed,tipo_elem_estacion,distrito,id_punto,cod_cent,nombre,Long,Lat
4159,408,2.0,16,0.0,URB,17.0,5399,94018,DOMINGO PARRAGA E-O(ALBERTO PALACIOS-TRAV. LEGANES),-3.71311518021293,40.3420682575637
4164,1056,3.0,22,0.0,URB,17.0,10930,94023,AV. REAL PINTO Ø54 N-S(VALLE TOBALINA - SAN CESAREO),-3.70917796564024,40.3389591389696
3910,274,4.0,12,0.0,URB,11.0,10953,85058,BALEARES S-N(JACINTO VERDAGUER-ANTONIO LOPEZ),-3.71362288145496,40.3963483327859
4291,88,5.0,13,0.0,URB,2.0,3505,97073,Toledo N-S - Juan Antonio Vallejo- Nájera Botas-Gta.Pirámides,-3.71393478177398,40.4020228372361
4125,129,1.0,10,0.0,URB,8.0,9906,93024,Chantada E-O (Sarria - Camino Ganapanes),-3.71395280851083,40.4732838860212
3486,67,1.0,5,0.0,URB,8.0,10029,76017,COSTA BRAVA O-E(MARBELLA-MONASTERIO HUELGAS),-3.70933357475668,40.4982371611443
4166,792,6.0,36,0.0,URB,17.0,10016,94025,BASCUÑUELOS E- O (CIUDAD FRIAS - VALLE TOBALINA),-3.71469555776984,40.3376667024897
4142,60,31.0,36,0.0,URB,17.0,5385,94001,REAL PINTO S-N(LAGUNA MARQUESADO-LAGUNA MASQUESADO),-3.71338268754449,40.3324536420929
4049,739,7.0,30,0.0,URB,2.0,4697,90018,(AFOROS) TOLEDO S-N(SAN ISIDORO SEVILLA-PUERTA TOLEDO),-3.71228596982223,40.4050684460202
4144,84,1.0,10,0.0,URB,17.0,5387,94003,SAN EZEQUIEL O-E(CIUDAD FRIAS-AV. REAL PINTO),-3.71353945370435,40.3335688299125
4129,172,3.0,8,0.0,URB,8.0,9904,93028,Camino Ganapanes S-N (Becerrea-Chantada),-3.7148683879311,40.4724584830051
3880,250,1.0,6,0.0,URB,11.0,5303,85026,PTE DE LOS CAPUCHINOS ENTRADA CRUCE S-N,-3.71189917240676,40.3899983129709
4297,496,4.0,29,0.0,URB,2.0,4704,97079,Salida calle30 E-O - Marqués de Vadillo-Gta.Pirámides a 280mts,-3.71151897930054,40.3987344076922
