ano,semana,site,benzene,co,no,no2,nox,o3,pm10,pm2.5,so2,site_name,X,Y
2021,35,es0115a,NA,0.275,8.25,20.541666666666668,33.175,NA,NA,NA,10.116666666666667,PLAZA DE ESPAÑA,-3.71222222,40.42416666
2021,35,es0118a,0.2134453781512605,0.24369747899159663,6.050420168067227,36.63025210084034,45.96638655462185,58.64033613445378,24.983193277310924,20.369747899159663,6.07563025210084,ESCUELAS AGUIRRE,-3.68222222,40.42166666
2021,35,es0120a,0.2889830508474576,NA,5.816666666666666,35.516666666666666,44.53333333333333,NA,NA,NA,NA,RAMÓN Y CAJAL,-3.67722222,40.45166666
2021,35,es0124a,NA,NA,3.375,25.866666666666667,31.05,67.25833333333334,NA,NA,NA,ARTURO SORIA,-3.63916666,40.44
2021,35,es0125a,NA,NA,10.62962962962963,43.638888888888886,59.93518518518518,49.82201680672269,NA,NA,NA,VILLAVERDE,-3.705,40.34694444
2021,35,es0126a,0.17264957264957265,NA,5.428571428571429,30.067226890756302,38.445378151260506,51.81075630252101,17.857142857142858,NA,NA,FAROLILLO,-3.73194444,40.39472222
2021,35,es1193a,0.17058823529411765,NA,2.8583333333333334,19.266666666666666,23.708333333333332,54.881,14.75,8.983333333333333,NA,CASA DE CAMPO,-3.74916666,40.42
2021,35,es1422a,NA,0.31176470588235294,5.638655462184874,30.899159663865547,39.470588235294116,61.85991596638655,NA,NA,7.983193277310924,PLAZA DEL CARMEN,-3.70333333,40.41916666
2021,35,es1426a,NA,NA,3.625,30.291666666666668,35.833333333333336,NA,14.583333333333334,NA,5.725,MORATALAZ,-3.64527777,40.40805555
2021,35,es1521a,NA,NA,8.508333333333333,32.55,45.525,58.43633333333333,NA,NA,NA,BARRIO DEL PILAR,-3.71138888,40.47833333
2021,35,es1525a,0.1,NA,7.241666666666666,33.958333333333336,44.983333333333334,NA,16.991666666666667,12.608333333333333,NA,CUATRO CAMINOS-PABLO IGLESIAS,-3.70638888,40.44527777
2021,35,es1563a,NA,0.5599999999999999,4.201834862385321,22.788990825688074,29.31192660550459,65.20370370370371,14.207207207207206,8.504504504504505,3.1401869158878504,ALCAL� DE HENARES,-3.377949,40.479328
2021,35,es1564a,0.25575221238938056,NA,2.8859649122807016,21.350877192982455,26.07017543859649,68.78947368421052,33.3125,NA,NA,ALCOBENDAS,-3.645253,40.540351
2021,35,es1565a,0.4370689655172414,NA,4.6923076923076925,28.372881355932204,35.63247863247863,66.66666666666667,19.51260504201681,NA,NA,FUENLABRADA,-3.800946,40.281505
2021,35,es1567a,NA,NA,7.36697247706422,38.73394495412844,50.24545454545454,52.67272727272727,20.564814814814813,12.212962962962964,NA,LEGAN�S,-3.7545,40.3397
2021,35,es1568a,NA,0.4379310344827586,3.5517241379310347,28.413793103448278,34.16379310344828,57.243478260869566,17.838983050847457,NA,1,M�STOLES,-3.87677,40.3242
2021,35,es1611a,NA,NA,1.1919191919191918,10.565656565656566,12.808080808080808,72.61616161616162,16.11111111111111,NA,NA,ARANJUEZ,-3.5914,40.03327
2021,35,es1612a,NA,NA,3.142857142857143,18.864406779661017,23.635593220338983,67.53781512605042,12.865546218487395,NA,NA,MAJADAHONDA,-3.8689,40.4461
2021,35,es1613a,NA,0.6327731092436975,3.093220338983051,16.823529411764707,21.73728813559322,73.46610169491525,13.833333333333334,NA,NA,COLMENAR VIEJO,-3.7739,40.6646
2021,35,es1645a,NA,NA,4.9,32.458333333333336,40.025,50.81157894736842,NA,NA,NA,BARAJAS - PUEBLO,-3.575,40.47472222
2021,35,es1752a,NA,NA,2.6470588235294117,17.781512605042018,22.166666666666668,72.70588235294117,15.512605042016807,9.641666666666667,NA,TORREJON DE ARDOZ,-3.4776,40.4495
2021,35,es1801a,NA,NA,2.46218487394958,16.033898305084747,20.126050420168067,68.5982905982906,22.39830508474576,NA,NA,ARGANDA DEL REY,-3.45883056,40.3006944
2021,35,es1802a,0.10086206896551725,0.6008403361344538,1.0084033613445378,4.866666666666666,6.872881355932203,96.72033898305085,9.558333333333334,7.25,1,EL ATAZAR,-3.4679,40.909
2021,35,es1803a,0.253448275862069,NA,4.3760683760683765,25.700854700854702,32.452991452991455,58.17094017094017,NA,10.193277310924369,1,COLLADO VILLALBA,-4.01425,40.6339
2021,35,es1805a,NA,NA,1.1623931623931625,4.1440677966101696,6.35042735042735,67.58119658119658,15.344537815126051,NA,NA,GUADALIX DE LA SIERRA,-3.702147222,40.780633333
2021,35,es1806a,NA,0.5521008403361345,1.134453781512605,4.766666666666667,6.875,87.45378151260505,12.453781512605042,NA,2.1176470588235294,ORUSCO DE TAJU�A,-3.2211,40.2876
2021,35,es1807a,NA,NA,4.697478991596639,23.84873949579832,31.084033613445378,63.04201680672269,17.823529411764707,NA,NA,RIVAS-VACIAMADRID,-3.5429,40.3597
2021,35,es1808a,NA,NA,1.5603448275862069,10.487179487179487,13.155172413793103,69.35344827586206,12.058823529411764,NA,NA,SAN MARTIN DE VALDEIGLESIAS,-4.3981,40.3677
2021,35,es1809a,NA,NA,2.5546218487394956,25.19327731092437,29.691666666666666,63.80833333333333,NA,11.975,NA,VALDEMORO,-3.680265,40.185241
2021,35,es1810a,NA,0.2376068376068376,1.7966101694915255,9.094017094017094,11.991452991452991,72.52991452991454,15.184873949579831,9.907563025210084,2.059322033898305,VILLA DEL PRADO,-4.2752,40.2479
2021,35,es1811a,NA,NA,1.4201680672268908,12.436974789915967,14.915966386554622,82.35833333333333,NA,8.77310924369748,NA,VILLAREJO DE SALVANES,-3.2766,40.1672
