id_inf,grupo,tipo,nombre,CODMUN,DIRECCION,info,CMUN,CDIS,dist_aeropuerto,dist_intercambiador,dist_cercanias,dist_hospital,dist_universidad,dist_gob,dist_embajada,dist_ccomercial,X,Y
23,Transporte,Intercambiadores,Áreas Intermodales Villaverde Bajo,079,Paseo de la Estación,NA,079,17,7.9337457613145554,0,0.06197521763640309,2.850442026371921,9.09230264665503,1.1071278126912132,13.59492590264535,0.6475359947052689,-3.68385984408683,40.35318263280807
24,Transporte,Intercambiadores,Áreas Intermodales Villaverde Bajo-Cruce,079,Avda de Andalucia,NA,079,17,7.288090374979652,0,0.7393112822806903,2.842026380267558,1.930962772116254,3.0386872296080267,1.0983392046893456,3.252648395443451,-3.692566785978995,40.35099699630069
25,Transporte,Aeropuertos,Aeropuerto Adolfo Suárez-Madrid Barajas,079,"Avda. Hispanidad, s/n",NA,079,21,0,0.9796844206805012,3.7607915725021663,4.290834709174116,2.483211557445835,1.0629871465337166,16.547268763477124,1.1096885941119758,-3.5719893880780003,40.46011989721749
26,Transporte,Aeropuertos,Aeropuerto Madrid-Cuatro Vientos,065,"Ctra. Barrio de la Fortuna, s/n",NA,079,10,0,2.074099268570789,1.2863653805000048,0.9375159983432972,2.7284890833473647,1.0701720125592455,15.70911272528488,1.2160203916020091,-3.774743888471201,40.37036095920411
27,Transporte,Aeropuertos,Aeropuerto Madrid-Torrejón de Ardoz,148,"Ctra. de la Base, s/n",NA,148,01,0,10.638191693778625,1.4979336919050754,1.55646321874326,2.486970481291848,1.1407778082691375,16.685068842753722,1.170131860731288,-3.446896859589319,40.47660431424432
28,Transporte,Estaciones de Cercanías,Alcalá de Henares,005,005,"Líneas: C-2, C-7, C-8",005,01,6.988827743151302,17.596362241013633,0,0.6845526865066547,2.022438994294473,0.3652930991125672,15.825189891642086,0.5098559513141935,-3.3659051866991505,40.489075197716865
29,Transporte,Estaciones de Cercanías,Torrejón de Ardoz,148,148,"Líneas: C-2, C-7, C-8",148,03,3.696267432236757,7.979263070916121,0,3.837707408812396,2.275529076080091,0.6172988221918239,15.740960557999127,0.7666974825024908,-3.479803626828272,40.454736156655294
30,Transporte,Estaciones de Cercanías,San Fernando de Henares,049,049,"Líneas: C-2, C-7, C-8",049,04,3.7607915725021663,4.365547561549729,0,0.6598190061163919,2.260692490165248,0.6023403369803583,15.758369198892536,0.7502978935999621,-3.533951007926985,40.442625556240955
31,Transporte,Estaciones de Cercanías,Coslada,049,049,"Líneas: C-2, C-7, C-8",049,01,4.147136617203298,4.960500095869609,0,2.471673923913296,38.661764451251535,0.3843301150670067,47.73574084079088,27.75541703850896,-3.561040287020971,40.4237666838686
32,Transporte,Estaciones de Cercanías,Vicálvaro,079,079,"Líneas: C-2, C-7, C-8",079,19,6.852979636789738,2.934882723775733,0,2.4730381132966404,38.69036397964332,0.326186932967182,47.60116941151794,27.62509356585164,-3.5959469511099016,40.40124950334415
33,Transporte,Estaciones de Cercanías,Santa Eugenia,079,079,"Líneas: C-2, C-7, C-8",079,18,8.722499460828418,2.733094845777946,0,0.7421486425756365,38.83470140586574,0.23941539770486084,47.810045106955954,27.8370067305917,-3.6089689536716474,40.386902222847496
34,Transporte,Estaciones de Cercanías,Vallecas,079,079,"Líneas: C-2, C-7, C-8",079,18,9.764649272877392,2.2966960093350464,0,0.4599325965614722,7.493750399269663,3.4782954014649072,16.023954979534583,1.5307089989439984,-3.624581321827975,40.381963037341265
35,Transporte,Estaciones de Cercanías,El Pozo,079,079,"Líneas: C-2, C-7, C-8",079,13,10.06098438342136,2.858813070292846,0,3.175779850100678,1.0913269325730832,2.3353079547427664,9.951762721287682,0.3097614121555215,-3.6562147740966986,40.37606706710063
36,Transporte,Estaciones de Cercanías,Asamblea de Madrid - Entrevías,079,079,"Líneas: C-2, C-7, C-8",079,13,9.131634416841894,1.763455730130967,0,2.698587693906788,2.230861794112731,1.0032279162393054,13.096318830069364,0.532085338114559,-3.667975461423551,40.381691822828
37,Transporte,Estaciones de Cercanías,Madrid Atocha cercanías,079,079,"Líneas: C-1, C-2, C-3, C-3a, C-4, C-5, C-7, C-8, C-10",079,02,8.168147876909394,0.28729400682733947,0,1.0578515833689326,1.3829470912877553,0.14614360462786016,12.343410470919569,1.378041794760139,-3.690646701670752,40.40632057247851
38,Transporte,Estaciones de Cercanías,Recoletos,079,079,"Líneas: C-1, C-2, C-7, C-8, C-10",079,04,9.22067826876027,1.236423646258221,0,1.3621274347792427,7.926011707759676,1.4195394451174357,23.620367399384065,1.664037641470494,-3.690971494467553,40.42333263685311
39,Transporte,Estaciones de Cercanías,Nuevos Ministerios,079,079,"Líneas: C-1, C-2, C-3, C-3a, C-4, C-7, C-8, C-10",079,06,10.280089141534292,0.05014029713907238,0,0.9044410819930564,25.98929526713756,0.18978639845786047,18.451356082796885,14.9861652976669,-3.6921826270165328,40.44661448904442
40,Transporte,Estaciones de Cercanías,Madrid Chamartín,079,079,"Líneas: C-1, C-2, C-3, C-3a, C-4, C-7, C-8, C-10",079,05,9.51607827183008,0.08164276158729723,0,0.9389529011474947,10.90982056895133,0.25037053807440207,23.17024868311572,7.389378850248967,-3.683350134634499,40.47220750613565
41,Transporte,Estaciones de Cercanías,Fuencarral,079,079,Líneas: C-4,079,08,10.41902770560942,3.2845141962563473,0,1.8439325390840404,3.7683296655352714,0.6727696543026558,9.618556834947318,5.501726770334626,-3.682502715975813,40.50151859814308
42,Transporte,Estaciones de Cercanías,Universidad Cantoblanco,079,079,"Líneas: C-4, C-4a, C-4b",079,08,14.287933047180111,8.130465027254171,0,0.7690003363882789,1.2624587082561003,0.5113851782362473,0.12751000605976026,0.8415729877424851,-3.700179846754006,40.543843374427304
43,Transporte,Estaciones de Cercanías,Universidad Pontificia de Comillas,079,079,Líneas: C-4a,079,08,14.088565640565236,9.13254237185372,0,1.8335273605237583,0.4057784714737616,0.3097379081330212,0.09290967630718708,0.46541093336771033,-3.6837450614783847,40.554105080957015
44,Transporte,Estaciones de Cercanías,Valdelasfuentes,006,006,Líneas: C-4a,006,01,11.955953310931577,8.173530298131187,0,3.409478681557124,0.4991139187487958,0.20197222185718455,0.17494756667832426,0.4162161741591401,-3.654424671533429,40.54748221411755
45,Transporte,Estaciones de Cercanías,Alcobendas - San Sebastián de Los Reyes,006,006,Líneas: C-4a,006,01,11.009768547654808,7.14909597917862,0,2.405146468724053,0.39072739704428067,0.3301550355859074,0.08573614470617473,0.468641379766516,-3.635061313951112,40.546743438239815
46,Transporte,Estaciones de Cercanías,Meco,083,083,"Líneas: C-2, C-8",083,01,14.12225506954975,24.282872142691875,0,4.9730701028735,0.48154257525139943,0.22000853038815715,0.15668977961262923,0.4261503908864849,-3.298446655007019,40.53482653412437
