cmun,cdis,consultorios_de_salud,helisuperficies,centros_de_atencion_a_drogodependientes,centros_de_salud,estaciones_de_cercanias,hospitales,otros_centros_de_salud,centros_de_salud_mental,centros_de_especialidades,bocas_de_metro,intercambiadores,aeropuertos,ayuntamientos_consejerias_ministerios_etc,sanidad_y_servicios_sociales,actividades_administrativas,actividades_asociativas_y_hogares,actividades_profesionales,administraciones_publicas,alimentacion,centros_educativos_no_universitarios_centros_publicos,comercio_mayorista,comercio_minorista,construccion,educacion,hosteleria,industria_quimica_y_refino,informacion_y_comunicaciones,maquinaria_industrial,material_de_transporte,material_electrico_y_electronico,mercadillos,metalicas_basicas_e_intermedias,mineria_y_suministros,otras_manufactureras,otros_servicios_bancos,papel_y_graficas,servicios_financieros,servicios_personales,servicios_recreativos,textil_confeccion_y_calzado,transporte_y_almacenamiento,actividades_inmobiliarias,centros_educativos_no_universitarios_centros_privados,industria_no_metalica,administracion_de_justicia,agencia_tributaria,campus_universitarios,centros_educativos_universitarios,colegios_mayores,galerias_de_alimentacion,grandes_superficies_especializadas,hipermercados,mercados_de_abastos,agricultura_y_ganaderia,centros_educativos_no_universitarios_servicios_educativos,seguridad_social,centros_comerciales,oficinas_de_empleo,embajadas_y_consulados,nsec,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,X,Y,densidad_hab_km,area_km2,bakery,bar,butcher,cafe,car_dealership,clothes,convenience,fast_food,food_court,furniture_shop,gift_shop,greengrocer,guesthouse,hairdresser,hotel,pub,restaurant,stationery,vending_any,bicycle_rental,hostel,supermarket,beauty_shop,beverages,bicycle_shop,bookshop,chemist,computer_shop,doityourself,florist,jeweller,kiosk,mall,mobile_phone_shop,optician,shoe_shop,toy_shop,travel_agent,car_rental,car_wash,outdoor_shop,sports_shop,caravan_site,biergarten,garden_centre,laundry,department_store,newsagent,vending_parking,chalet,shelter,motel,camp_site,general,alpine_hut,video_shop,vending_machine,car_sharing,tmed,prec,velmedia,presMax
007,01,0,1,1,1,2,2,0,0,0,9,0,0,1,38,58,4,54,4,9,7,70,256,69,31,98,3,28,3,1,4,0,8,5,9,17,6,23,30,25,4,18,11,15,0,0,0,2,6,1,1,9,1,0,0,0,1,4,0,0,19,40.904350177293736,31586,0.5098699867029697,0.4901300132970303,0.17602696764389286,0.6600037548280884,0.16396783068448048,0.16007548280883935,0.2327286424365225,0.055170429937314,0.04442678401823593,0.38418312860127907,0.14227224403216615,0.5304098018109289,0.61300636991072,-3.844486706088623,40.366026271788854,1392.4079599229174,22.684443718454883,1,1,0,3,1,0,1,7,0,1,0,0,0,1,3,0,26,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8191752005618,1.0268020094854622,3.0974635313084793,939.4032525726192
007,02,0,0,0,2,1,0,0,1,0,8,0,0,0,47,42,12,34,4,3,18,19,87,64,43,55,0,8,0,1,0,1,3,0,1,17,4,26,24,9,2,26,8,13,3,3,1,0,0,0,2,1,1,0,1,0,1,1,1,0,37,45.84425883776247,48768,0.5276397453248032,0.4723602546751969,0.13623898868110235,0.6154037709153544,0.24836890789041996,0.06816554297900262,0.11318729084645668,0.06959557906824146,0.05461468175853019,0.4346973138123359,0.11520343873031497,0.4727841781496062,0.5333161068733596,-3.808451473672666,40.35478448600702,13065.452391050849,3.732591764936018,1,1,1,2,0,0,1,4,0,0,0,1,0,0,0,0,13,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.01272379111645,1.015418964332024,3.1940820068536224,940.5300471285944
007,03,0,0,0,2,0,0,0,0,0,1,0,0,0,9,26,3,21,0,9,9,26,72,57,13,30,1,11,0,0,4,0,6,0,8,7,15,7,12,8,3,19,5,4,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,29,48.67984787795576,32775,0.527090468344775,0.472909531655225,0.11484499466056446,0.5554535621662853,0.3296987551487414,0.1276254004576659,0.1746506788710908,0.04147744927536231,0.02997918535469107,0.29590043325705573,0.14325089855072465,0.4080964210526315,0.47688572082379865,-3.815548232798186,40.34306209073186,21690.006828369515,1.511064531207608,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.942899946562097,1.0166445764800764,3.1571741786020726,940.6329670833024
007,04,0,0,0,2,0,0,0,0,0,0,0,0,0,27,32,3,18,3,7,23,54,104,79,47,64,2,2,1,0,2,1,12,1,10,10,6,19,18,17,6,18,6,13,5,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,35,41.47208080621429,58446,0.5142876415836841,0.48571235841631594,0.17726387947849298,0.644620940697396,0.17811451083051022,0.0955190859939089,0.14538499469595864,0.05303677411627827,0.03980629983232385,0.38371525852924065,0.12904399103445915,0.5519713752865893,0.6277406015809465,-3.8329699313329817,40.33461603205787,10292.006804955336,5.678775879924578,2,6,0,6,0,0,6,6,0,0,0,1,1,5,0,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.854599463465314,1.020446427065156,3.1220197272234413,940.2711628565668
008,01,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,2,0,3,1,4,5,3,3,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,42.3207,3078,0.4899,0.5101,0.178,0.6313,0.1907,0.1628,0.1878,0.0344,0.0245,0.2245,0.2028,0.4489999999999999,0.5632,-4.223782566860321,40.30926740828864,59.564788153980494,51.674824932526995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5471007398156,0.9067515796988692,2.601597524559399,925.2929968924192
009,01,1,1,0,1,0,0,0,0,0,0,0,0,1,16,20,6,18,2,5,13,45,43,41,23,25,4,6,7,2,11,1,5,1,14,6,6,9,11,12,1,20,5,3,3,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,9,39.85820684891809,20704,0.5094247729907264,0.4905752270092736,0.17713068489180833,0.6895596889489953,0.13330534196290572,0.11217029076506956,0.1725384563369397,0.07715482515455951,0.0605493865919629,0.40455891132148375,0.10367784486089644,0.5341627125193199,0.5973146155332303,-3.5299276364910743,40.60821815705648,545.5445475715355,37.95107125928181,0,2,0,1,0,1,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.878745576144157,1.0859925819830576,3.0294998114313776,934.0689356858622
010,01,1,0,0,0,2,0,0,0,0,0,0,0,1,13,13,4,17,2,1,7,11,19,25,22,24,0,1,1,0,1,1,2,1,1,3,0,5,6,8,1,7,4,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,40.574972638028726,15178,0.5095978785083675,0.49040212149163265,0.1794548161813151,0.6811852879167216,0.13935584398471473,0.09019803004348398,0.13591695875609436,0.07535910528396364,0.05609451179338516,0.5401626564764791,0.1091547173540651,0.5449263407563579,0.6118953682962183,-4.020814215631895,40.6618418174609,1198.0854914750869,12.668545031217093,1,17,2,4,0,1,1,5,0,0,1,0,0,1,1,2,11,0,0,0,1,3,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.275260492837733,1.696575240706062,3.858139909130823,866.6351298171272
011,01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45.5249,663,0.4991999999999999,0.5008,0.1357,0.6561,0.2081,0.187,0.2021,0.0157,0.0122,0.23209999999999997,0.2484,0.4171,0.555,-3.176684203863506,40.340776229675775,25.68229601283241,25.815448886218174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.039460462836445,1.0723457364840907,2.9555719852731577,936.44633735945
012,01,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,2,1,0,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.2952,1365,0.4842,0.5158,0.1978,0.6696,0.1326,0.0989,0.11360000000000002,0.0557,0.0466,0.2922,0.1545,0.5397,0.6384,-3.276866225915073,40.46646425785261,62.78019599501992,21.74252530381204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.125314551520656,0.994506741748022,3.1511584326746713,941.0723636936312
013,01,0,0,1,1,0,0,0,0,0,0,0,0,0,14,5,0,8,3,1,7,3,32,5,17,28,0,1,0,0,0,0,0,0,0,6,0,6,5,3,0,6,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,9,42.0042264908335,14673,0.5182340693791317,0.48176593062086825,0.17617420432086145,0.6371633203843795,0.18666914059837797,0.15860414366523545,0.18680990935732297,0.05389065630750358,0.04168970898930008,0.3644745927894773,0.1700310093368773,0.46546190962993256,0.558819655148913,-3.589341469202484,40.03580360594406,10018.55715229679,1.4645821525943148,0,2,0,3,0,1,1,0,0,0,0,0,0,2,1,1,7,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.545670553809714,0.7992718419977664,1.9433928485506315,935.0336633177574
