Edelweiss,2301,restaurant,"[-3.6966322, 40.4169233]"
El Secreto de Castilla,2301,restaurant,"[-3.6965924, 40.4171806]"
Sagardi,2301,restaurant,"[-3.6966034, 40.4173325]"
Bar,2304,pub,"[-3.6970761, 40.4168278]"
Vegetariano,2301,restaurant,"[-3.6971908, 40.416822]"
,2303,cafe,"[-3.6973366, 40.4168084]"
,2303,cafe,"[-3.6961976, 40.4182418]"
Fórmula Nietos,2304,pub,"[-3.7022372, 40.4043334]"
La Cuadra,2304,pub,"[-3.7016814, 40.4036196]"
Döner Kebab,2302,fast_food,"[-3.701651, 40.4035317]"
Granier,2303,cafe,"[-3.7019897, 40.4046885]"
Los chiquitos,2304,pub,"[-3.7015443, 40.4041266]"
Bar Díaz,2304,pub,"[-3.7014278, 40.4039506]"
Uskar,2301,restaurant,"[-3.7009208, 40.4040925]"
A Cañada,2301,restaurant,"[-3.7014847, 40.4047549]"
Indalo,2304,pub,"[-3.7006404, 40.4036669]"
El Encuentro,2304,pub,"[-3.7000905, 40.403803]"
El Valle,2304,pub,"[-3.6995978, 40.4037373]"
Valdivieso,2301,restaurant,"[-3.6986721, 40.4049362]"
Hong,2301,restaurant,"[-3.6973199, 40.4051914]"
Granadilla,2304,pub,"[-3.6971953, 40.4050149]"
Telepizza,2302,fast_food,"[-3.6974369, 40.4027377]"
Bar Teide,2304,pub,"[-3.6959215, 40.4041585]"
Döner Kebab,2302,fast_food,"[-3.6963438, 40.4039297]"
Bar,2304,pub,"[-3.6964406, 40.4038286]"
Chin Chin,2304,pub,"[-3.6956117, 40.4047334]"
Restaurante Indio,2301,restaurant,"[-3.6952969, 40.4050712]"
Croquetería Ven y verás,2304,pub,"[-3.6964274, 40.4043696]"
Bar,2304,pub,"[-3.6960055, 40.4048223]"
La Mayor,2304,pub,"[-3.7121513, 40.4151603]"
La Amarilla,2305,bar,"[-3.7111249, 40.4154807]"
Tapería Mayor,2301,restaurant,"[-3.7113374, 40.4154405]"
,2303,cafe,"[-3.7118077, 40.4151444]"
Arcade,2301,restaurant,"[-3.7115508, 40.4152606]"
Cruz Blanca,2301,restaurant,"[-3.710208, 40.4156552]"
,2301,restaurant,"[-3.7100123, 40.4155619]"
Taste Gallery,2301,restaurant,"[-3.7094547, 40.4153729]"
Taberneros,2301,restaurant,"[-3.7104348, 40.4163669]"
Arbonaida,2301,restaurant,"[-3.7106873, 40.4164826]"
Velicia,2305,bar,"[-3.7085285, 40.416073]"
Chocolatería San Ginés,2303,cafe,"[-3.706803, 40.4167707]"
Yambala,2304,pub,"[-3.7069412, 40.4166338]"
Grazie Mille,2301,restaurant,"[-3.7075072, 40.4161161]"
Burger King,2302,fast_food,"[-3.7050598, 40.4160273]"
KFC,2302,fast_food,"[-3.704493, 40.4164854]"
opera:pizza,2302,fast_food,"[-3.7089054, 40.4177493]"
Entre suspiro y suspiro,2301,restaurant,"[-3.7090308, 40.4186369]"
Ópera Victoria,2301,restaurant,"[-3.7089327, 40.4185506]"
Discoteca Olimpia,2305,bar,"[-3.7086559, 40.4188918]"
Wok King,2301,restaurant,"[-3.7077218, 40.4196027]"
Taberna de los Ángeles,2301,restaurant,"[-3.7082433, 40.4186643]"
Lizarran,2301,restaurant,"[-3.7070086, 40.4196449]"
Cervercería Erte,2304,pub,"[-3.7074836, 40.4192413]"
,2304,pub,"[-3.7077324, 40.4189473]"
Doña Juana cervecería,2304,pub,"[-3.706309, 40.4190743]"
El Gaucho,2301,restaurant,"[-3.7031236, 40.418183]"
Vianvi,2303,cafe,"[-3.7034827, 40.4185047]"
Artemisa,2301,restaurant,"[-3.7029076, 40.419207]"
,2305,bar,"[-3.7039069, 40.4191018]"
Takos Al Pastor,2301,restaurant,"[-3.7037389, 40.418948]"
OVNI,2303,cafe,"[-3.703326, 40.4193676]"
,2304,pub,"[-3.7040573, 40.4193117]"
Pans & Company,2302,fast_food,"[-3.7029282, 40.4202714]"
Starbucks,2303,cafe,"[-3.7028563, 40.4202661]"
Burger King,2302,fast_food,"[-3.7049789, 40.4204138]"
Starbucks,2303,cafe,"[-3.7054691, 40.4200282]"
Rodilla,2302,fast_food,"[-3.7058085, 40.4194819]"
Ginos,2301,restaurant,"[-3.7068314, 40.4205737]"
Los Gamos,2304,pub,"[-3.7008624, 40.4101569]"
Preity Raj,2301,restaurant,"[-3.7008582, 40.4102862]"
La Aguja,2304,pub,"[-3.7007429, 40.4105707]"
A Cañada,2301,restaurant,"[-3.7004479, 40.4109653]"
Raja Mahal,2301,restaurant,"[-3.700326, 40.4111374]"
Moharaj,2301,restaurant,"[-3.700589, 40.4110886]"
Nap,2301,restaurant,"[-3.7005322, 40.4108202]"
Bombay Palace,2301,restaurant,"[-3.7008747, 40.4107264]"
,2304,pub,"[-3.6995485, 40.4101321]"
La Inquilina,2304,pub,"[-3.7009094, 40.4096555]"
,2301,restaurant,"[-3.7009194, 40.4093708]"
Viva Chapata,2304,pub,"[-3.7009059, 40.4094201]"
