rank_score_spi,score_spi,score_bhn,score_fow,score_opp,score_nbmc,score_ws,score_sh,score_ps,score_abk,score_aic,score_hw,score_eq,score_pr,score_pfc,score_incl,score_aae
NA,65.2399978637695,75.8000030517578,63.6199989318848,56.2799987792969,82.0899963378906,80.7399978637695,79.3600006103516,61.0200004577637,72.4199981689453,75.9599990844727,58.2099990844727,47.9000015258789,60.4000015258789,62.2700004577637,42.9700012207031,59.5
NA,64.870002746582,75.3499984741211,63.1800003051758,56.0699996948242,82.0100021362305,79.8399963378906,78.8600006103516,60.6800003051758,72.5,74.4400024414062,57.9099998474121,47.8699989318848,60.3800010681152,62.3600006103516,42.1399993896484,59.3899993896484
NA,64.5500030517578,74.9100036621094,62.9099998474121,55.8300018310547,81.7900009155273,78.6900024414062,78.5,60.6599998474121,72.3600006103516,73.7099990844727,57.8400001525879,47.7299995422363,61.0099983215332,62.3899993896484,41.3899993896484,58.5200004577637
NA,64.3099975585938,74.4800033569336,62.4599990844727,55.9799995422363,81.5299987792969,77.9899978637695,77.629997253418,60.7799987792969,72.2699966430664,72.870002746582,57.25,47.4500007629395,61.4900016784668,62.5800018310547,41.8600006103516,58
NA,63.6199989318848,73.9800033569336,61.0299987792969,55.8400001525879,81.2300033569336,77.1999969482422,76.9199981689453,60.560001373291,71.9000015258789,68.9000015258789,56.7200012207031,46.5800018310547,61.9700012207031,62.4599990844727,41.4799995422363,57.4599990844727
NA,63.2900009155273,73.4300003051758,60.5200004577637,55.9199981689453,80.9000015258789,76.5899963378906,75.9199981689453,60.310001373291,71.6699981689453,67.4000015258789,56.189998626709,46.8199996948242,62.8600006103516,62.3899993896484,41.6199989318848,56.810001373291
NA,62.6500015258789,72.879997253418,59.2599983215332,55.7999992370605,80.5299987792969,76.1699981689453,74.9700012207031,59.8600006103516,71.1600036621094,63.9099998474121,55.7799987792969,46.189998626709,63.2999992370605,62.0499992370605,41.7000007629395,56.1699981689453
NA,62.3199996948242,72.3499984741211,58.7000007629395,55.9199981689453,80.0899963378906,75.8899993896484,74.0599975585938,59.3699989318848,70.6100006103516,62.4599990844727,55.3899993896484,46.3300018310547,64.2600021362305,61.8400001525879,42,55.5900001525879
NA,61.3499984741211,71.8199996948242,56.0800018310547,56.1699981689453,79.6600036621094,75.3300018310547,73.2399978637695,59.0299987792969,70.0800018310547,53.7099990844727,54.939998626709,45.5699996948242,65.2200012207031,61.6800003051758,42.3600006103516,55.4300003051758
NA,60.9799995422363,71.25,55.439998626709,56.2599983215332,79.1800003051758,74.7099990844727,72.25,58.8600006103516,69.7699966430664,51.8699989318848,54.4900016784668,45.6100006103516,65.6999969482422,61.3199996948242,42.939998626709,55.060001373291
NA,60.4700012207031,70.9199981689453,54.3400001525879,56.1399993896484,78.5899963378906,74.1600036621094,72.1800003051758,58.7400016784668,69.4700012207031,48.2799987792969,53.9500007629395,45.6699981689453,65.9800033569336,61.1300010681152,42.9300003051758,54.5099983215332
