mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,gasto,Target
2019-07,135,UCRANIA,28006,ALCOBENDAS,35,006,86.78,86.78
2019-07,228,MARRUECOS,28006,ALCOBENDAS,109,006,86.78,86.78
2019-07,301,CANADA,28006,ALCOBENDAS,54,006,99.5,99.5
2019-07,302,EE.UU.,28006,ALCOBENDAS,503,006,119.05,119.05
2019-07,303,MEXICO,28006,ALCOBENDAS,166,006,133.35,133.35
2019-07,340,ARGENTINA,28006,ALCOBENDAS,74,006,86.91,86.91
2019-07,342,BRASIL,28006,ALCOBENDAS,80,006,117.09,117.09
2019-07,343,COLOMBIA,28006,ALCOBENDAS,143,006,162.67,162.67
2019-07,348,PERU,28006,ALCOBENDAS,41,006,86.78,86.78
2019-07,351,VENEZUELA,28006,ALCOBENDAS,47,006,86.78,86.78
2019-07,402,ARABIA SAUDITA,28006,ALCOBENDAS,31,006,86.78,86.78
2019-07,407,CHINA,28006,ALCOBENDAS,161,006,359.08,359.08
2019-07,408,EMIRATOS ARABES UNIDOS,28006,ALCOBENDAS,42,006,177.95,177.95
2019-07,414,ISRAEL,28006,ALCOBENDAS,65,006,86.78,86.78
2019-07,415,JAPÓN,28006,ALCOBENDAS,45,006,116.41,116.41
2019-07,430,REPUBLICA DE COREA - COREA DEL SUR,28006,ALCOBENDAS,52,006,116.04,116.04
2019-07,436,TURQUIA,28006,ALCOBENDAS,42,006,91.33,91.33
2019-07,000,TOTAL,28007,ALCORCÓN,3481,007,86.78,86.78
2019-07,010,TOTAL EUROPA,28007,ALCORCÓN,2698,007,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28007,ALCORCÓN,2281,007,86.78,86.78
2019-07,020,TOTAL ÁFRICA,28007,ALCORCÓN,164,007,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28007,ALCORCÓN,410,007,86.78,86.78
